영업소코드,영업소명,연도,차종,교통량
11,인천,2019,1종,47944449
11,인천,2019,2종,1246524
11,인천,2019,3종,883260
11,인천,2019,4종,757149
11,인천,2019,5종,1820338
11,인천,2019,6종,3935316
12,서영암(개),2019,1종,729362
12,서영암(개),2019,2종,10505
12,서영암(개),2019,3종,16040
12,서영암(개),2019,4종,13119
12,서영암(개),2019,5종,27085
12,서영암(개),2019,6종,34241
13,순천만,2019,1종,2038990
13,순천만,2019,2종,55357
13,순천만,2019,3종,59593
13,순천만,2019,4종,41847
13,순천만,2019,5종,128103
13,순천만,2019,6종,89793
25,동부산,2019,1종,4295382
25,동부산,2019,2종,34507
25,동부산,2019,3종,48968
25,동부산,2019,4종,33030
25,동부산,2019,5종,43731
25,동부산,2019,6종,134669
29,가락(개),2019,1종,10069393
29,가락(개),2019,2종,237603
29,가락(개),2019,3종,242522
29,가락(개),2019,4종,240874
29,가락(개),2019,5종,1352007
29,가락(개),2019,6종,765805
53,남인천,2019,1종,26360987
53,남인천,2019,2종,573739
53,남인천,2019,3종,746319
53,남인천,2019,4종,336677
53,남인천,2019,5종,730003
53,남인천,2019,6종,1997133
56,일로,2019,1종,611451
56,일로,2019,2종,15891
56,일로,2019,3종,15776
56,일로,2019,4종,17887
56,일로,2019,5종,95949
56,일로,2019,6종,33403
61,성남,2019,1종,57589956
61,성남,2019,2종,1795632
61,성남,2019,3종,1831441
61,성남,2019,4종,1454420
61,성남,2019,5종,1249366
61,성남,2019,6종,3717848
62,구리남양주,2019,1종,60181030
62,구리남양주,2019,2종,1973574
62,구리남양주,2019,3종,1936953
62,구리남양주,2019,4종,1775188
62,구리남양주,2019,5종,1372356
62,구리남양주,2019,6종,4099885
63,토평,2019,1종,6857859
63,토평,2019,2종,227100
63,토평,2019,3종,152453
63,토평,2019,4종,172522
63,토평,2019,5종,200720
63,토평,2019,6종,496971
64,청계,2019,1종,53689966
64,청계,2019,2종,1346702
64,청계,2019,3종,1547088
64,청계,2019,4종,692554
64,청계,2019,5종,1004970
64,청계,2019,6종,3620269
65,판교,2019,1종,30145068
65,판교,2019,2종,362587
65,판교,2019,3종,1596189
65,판교,2019,4종,128077
65,판교,2019,5종,148843
65,판교,2019,6종,1549696
66,하남,2019,1종,11302483
66,하남,2019,2종,296622
66,하남,2019,3종,171604
66,하남,2019,4종,120342
66,하남,2019,5종,191240
66,하남,2019,6종,776372
67,시흥,2019,1종,49656523
67,시흥,2019,2종,1341734
67,시흥,2019,3종,1363306
67,시흥,2019,4종,1079226
67,시흥,2019,5종,1221940
67,시흥,2019,6종,3313515
68,김포,2019,1종,58549862
68,김포,2019,2종,1702959
68,김포,2019,3종,1551399
68,김포,2019,4종,1069386
68,김포,2019,5종,1626150
68,김포,2019,6종,4345993
69,대왕판교,2019,1종,2481664
69,대왕판교,2019,2종,27428
69,대왕판교,2019,3종,2022
69,대왕판교,2019,4종,325
69,대왕판교,2019,5종,236
69,대왕판교,2019,6종,116263
74,덕소삼패,2019,1종,4634394
74,덕소삼패,2019,2종,99935
74,덕소삼패,2019,3종,66829
74,덕소삼패,2019,4종,118653
74,덕소삼패,2019,5종,226513
74,덕소삼패,2019,6종,370718
91,대동(개),2019,1종,1271184
91,대동(개),2019,2종,77934
91,대동(개),2019,3종,53760
91,대동(개),2019,4종,245600
91,대동(개),2019,5종,113921
91,대동(개),2019,6종,79443
92,내서,2019,1종,2695555
92,내서,2019,2종,80660
92,내서,2019,3종,131748
92,내서,2019,4종,53973
92,내서,2019,5종,99816
92,내서,2019,6종,217400
101,서울,2019,1종,63649757
101,서울,2019,2종,1874095
101,서울,2019,3종,6818659
101,서울,2019,4종,1455685
101,서울,2019,5종,811003
101,서울,2019,6종,2943304
102,동수원,2019,1종,28907474
102,동수원,2019,2종,445397
102,동수원,2019,3종,974920
102,동수원,2019,4종,164405
102,동수원,2019,5종,348277
102,동수원,2019,6종,1693271
103,수원신갈,2019,1종,29737834
103,수원신갈,2019,2종,1106980
103,수원신갈,2019,3종,1870762
103,수원신갈,2019,4종,720544
103,수원신갈,2019,5종,419962
103,수원신갈,2019,6종,1588168
104,지곡,2019,1종,539162
104,지곡,2019,2종,16263
104,지곡,2019,3종,29604
104,지곡,2019,4종,33873
104,지곡,2019,5종,42490
104,지곡,2019,6종,16195
105,기흥,2019,1종,9320003
105,기흥,2019,2종,229294
105,기흥,2019,3종,301673
105,기흥,2019,4종,126112
105,기흥,2019,5종,96782
105,기흥,2019,6종,547686
106,오산,2019,1종,15110971
106,오산,2019,2종,914195
106,오산,2019,3종,1199031
106,오산,2019,4종,862622
106,오산,2019,5종,451554
106,오산,2019,6종,905560
107,안성,2019,1종,11815000
107,안성,2019,2종,323207
107,안성,2019,3종,605923
107,안성,2019,4종,232044
107,안성,2019,5종,147914
107,안성,2019,6종,760804
108,천안,2019,1종,18755173
108,천안,2019,2종,430318
108,천안,2019,3종,1162809
108,천안,2019,4종,425441
108,천안,2019,5종,405003
108,천안,2019,6종,922275
109,계룡,2019,1종,1584711
109,계룡,2019,2종,107275
109,계룡,2019,3종,123111
