영업소코드,영업소명,연도,차종,교통량
11,인천,2021,1종,49612839
11,인천,2021,2종,1246711
11,인천,2021,3종,720272
11,인천,2021,4종,802638
11,인천,2021,5종,1711170
11,인천,2021,6종,3671997
12,서영암(개),2021,1종,836478
12,서영암(개),2021,2종,10834
12,서영암(개),2021,3종,14739
12,서영암(개),2021,4종,15908
12,서영암(개),2021,5종,23509
12,서영암(개),2021,6종,34762
13,순천만,2021,1종,2150806
13,순천만,2021,2종,54892
13,순천만,2021,3종,55325
13,순천만,2021,4종,43587
13,순천만,2021,5종,129804
13,순천만,2021,6종,80182
25,동부산,2021,1종,5962738
25,동부산,2021,2종,35618
25,동부산,2021,3종,31236
25,동부산,2021,4종,64959
25,동부산,2021,5종,41998
25,동부산,2021,6종,154031
29,가락(개),2021,1종,10767553
29,가락(개),2021,2종,235189
29,가락(개),2021,3종,233026
29,가락(개),2021,4종,249944
29,가락(개),2021,5종,1529662
29,가락(개),2021,6종,770883
53,남인천,2021,1종,24768423
53,남인천,2021,2종,552733
53,남인천,2021,3종,472862
53,남인천,2021,4종,332526
53,남인천,2021,5종,638494
53,남인천,2021,6종,1692188
56,일로,2021,1종,435628
56,일로,2021,2종,9652
56,일로,2021,3종,7130
56,일로,2021,4종,9772
56,일로,2021,5종,29659
56,일로,2021,6종,21187
61,성남,2021,1종,58504472
61,성남,2021,2종,1739820
61,성남,2021,3종,1596064
61,성남,2021,4종,1449990
61,성남,2021,5종,1217893
61,성남,2021,6종,3266302
62,구리남양주,2021,1종,60650089
62,구리남양주,2021,2종,2016238
62,구리남양주,2021,3종,1582570
62,구리남양주,2021,4종,1755478
62,구리남양주,2021,5종,1425396
62,구리남양주,2021,6종,3670464
63,토평,2021,1종,8667175
63,토평,2021,2종,265294
63,토평,2021,3종,178033
63,토평,2021,4종,214529
63,토평,2021,5종,242890
63,토평,2021,6종,542207
64,청계,2021,1종,52059208
64,청계,2021,2종,1281140
64,청계,2021,3종,1310632
64,청계,2021,4종,737330
64,청계,2021,5종,943460
64,청계,2021,6종,3065921
65,판교,2021,1종,27687067
65,판교,2021,2종,319666
65,판교,2021,3종,1403250
65,판교,2021,4종,132683
65,판교,2021,5종,132995
65,판교,2021,6종,1246790
66,하남,2021,1종,11409586
66,하남,2021,2종,282462
66,하남,2021,3종,159912
66,하남,2021,4종,151383
66,하남,2021,5종,163086
66,하남,2021,6종,681882
67,시흥,2021,1종,48363728
67,시흥,2021,2종,1313182
67,시흥,2021,3종,1126861
67,시흥,2021,4종,1191218
67,시흥,2021,5종,1157639
67,시흥,2021,6종,2873997
68,김포,2021,1종,58407594
68,김포,2021,2종,1745192
68,김포,2021,3종,1188114
68,김포,2021,4종,1123038
68,김포,2021,5종,1784293
68,김포,2021,6종,3951702
69,대왕판교,2021,1종,2446188
69,대왕판교,2021,2종,26006
69,대왕판교,2021,3종,4034
69,대왕판교,2021,4종,416
69,대왕판교,2021,5종,198
69,대왕판교,2021,6종,92505
74,덕소삼패,2021,1종,5151057
74,덕소삼패,2021,2종,105432
74,덕소삼패,2021,3종,66293
74,덕소삼패,2021,4종,115228
74,덕소삼패,2021,5종,187481
74,덕소삼패,2021,6종,358214
91,대동(개),2021,1종,1232322
91,대동(개),2021,2종,64410
91,대동(개),2021,3종,49437
91,대동(개),2021,4종,246119
91,대동(개),2021,5종,196934
91,대동(개),2021,6종,71316
92,내서,2021,1종,2645687
92,내서,2021,2종,81197
92,내서,2021,3종,102856
92,내서,2021,4종,56789
92,내서,2021,5종,116895
92,내서,2021,6종,200814
101,서울,2021,1종,61343801
101,서울,2021,2종,1785667
101,서울,2021,3종,5293139
101,서울,2021,4종,1617115
101,서울,2021,5종,842627
101,서울,2021,6종,2548961
102,동수원,2021,1종,25616659
102,동수원,2021,2종,352968
102,동수원,2021,3종,721104
102,동수원,2021,4종,144263
102,동수원,2021,5종,178331
102,동수원,2021,6종,1320031
103,수원신갈,2021,1종,27999160
103,수원신갈,2021,2종,1053047
103,수원신갈,2021,3종,1635677
103,수원신갈,2021,4종,802006
103,수원신갈,2021,5종,406330
103,수원신갈,2021,6종,1348608
104,지곡,2021,1종,526790
104,지곡,2021,2종,15074
104,지곡,2021,3종,24587
104,지곡,2021,4종,32956
