영업소코드,영업소명,연월,차종,교통량
11,인천,2023-01,1종,4069283
11,인천,2023-01,2종,90572
11,인천,2023-01,3종,48328
11,인천,2023-01,4종,57565
11,인천,2023-01,5종,113272
11,인천,2023-01,6종,280087
12,서영암(개),2023-01,1종,70440
12,서영암(개),2023-01,2종,766
12,서영암(개),2023-01,3종,1025
12,서영암(개),2023-01,4종,1246
12,서영암(개),2023-01,5종,2798
12,서영암(개),2023-01,6종,2294
13,순천만,2023-01,1종,172679
13,순천만,2023-01,2종,3908
13,순천만,2023-01,3종,4394
13,순천만,2023-01,4종,2814
13,순천만,2023-01,5종,7646
13,순천만,2023-01,6종,6097
25,동부산,2023-01,1종,511598
25,동부산,2023-01,2종,1873
25,동부산,2023-01,3종,3610
25,동부산,2023-01,4종,3036
25,동부산,2023-01,5종,7870
25,동부산,2023-01,6종,11665
29,가락(개),2023-01,1종,906544
29,가락(개),2023-01,2종,17555
29,가락(개),2023-01,3종,17427
29,가락(개),2023-01,4종,18514
29,가락(개),2023-01,5종,108192
29,가락(개),2023-01,6종,61879
53,남인천,2023-01,1종,1984176
53,남인천,2023-01,2종,36257
53,남인천,2023-01,3종,33406
53,남인천,2023-01,4종,21866
53,남인천,2023-01,5종,42046
53,남인천,2023-01,6종,123736
56,일로,2023-01,1종,40240
56,일로,2023-01,2종,579
56,일로,2023-01,3종,422
56,일로,2023-01,4종,771
56,일로,2023-01,5종,1658
56,일로,2023-01,6종,1808
57,다사,2023-01,1종,74359
57,다사,2023-01,2종,1217
57,다사,2023-01,3종,947
57,다사,2023-01,4종,515
57,다사,2023-01,5종,782
57,다사,2023-01,6종,5321
58,지천,2023-01,1종,47796
58,지천,2023-01,2종,696
58,지천,2023-01,3종,627
58,지천,2023-01,4종,462
58,지천,2023-01,5종,810
58,지천,2023-01,6종,2305
61,성남,2023-01,1종,4601936
61,성남,2023-01,2종,124357
61,성남,2023-01,3종,119002
61,성남,2023-01,4종,108107
61,성남,2023-01,5종,91404
61,성남,2023-01,6종,244149
62,구리남양주,2023-01,1종,4983225
62,구리남양주,2023-01,2종,146587
62,구리남양주,2023-01,3종,118206
62,구리남양주,2023-01,4종,126013
62,구리남양주,2023-01,5종,102620
62,구리남양주,2023-01,6종,291484
63,토평,2023-01,1종,659990
63,토평,2023-01,2종,18697
63,토평,2023-01,3종,11644
63,토평,2023-01,4종,16946
63,토평,2023-01,5종,15708
63,토평,2023-01,6종,39361
64,청계,2023-01,1종,4691561
64,청계,2023-01,2종,104456
64,청계,2023-01,3종,112137
64,청계,2023-01,4종,64472
64,청계,2023-01,5종,80653
64,청계,2023-01,6종,265458
65,판교,2023-01,1종,2518223
65,판교,2023-01,2종,24421
65,판교,2023-01,3종,132666
65,판교,2023-01,4종,9875
65,판교,2023-01,5종,9090
65,판교,2023-01,6종,109858
66,하남,2023-01,1종,881032
66,하남,2023-01,2종,20692
66,하남,2023-01,3종,9562
66,하남,2023-01,4종,8932
66,하남,2023-01,5종,11861
66,하남,2023-01,6종,47929
67,시흥,2023-01,1종,4019227
67,시흥,2023-01,2종,96358
67,시흥,2023-01,3종,82754
67,시흥,2023-01,4종,88861
67,시흥,2023-01,5종,82148
67,시흥,2023-01,6종,224252
68,김포,2023-01,1종,4815720
68,김포,2023-01,2종,126249
68,김포,2023-01,3종,86954
68,김포,2023-01,4종,83692
68,김포,2023-01,5종,132692
68,김포,2023-01,6종,309227
69,대왕판교,2023-01,1종,243241
69,대왕판교,2023-01,2종,2020
69,대왕판교,2023-01,3종,660
69,대왕판교,2023-01,4종,58
69,대왕판교,2023-01,5종,25
69,대왕판교,2023-01,6종,10334
74,덕소삼패,2023-01,1종,392173
74,덕소삼패,2023-01,2종,6770
74,덕소삼패,2023-01,3종,5004
74,덕소삼패,2023-01,4종,5558
74,덕소삼패,2023-01,5종,10334
74,덕소삼패,2023-01,6종,28117
91,대동(개),2023-01,1종,92229
91,대동(개),2023-01,2종,3868
91,대동(개),2023-01,3종,2988
91,대동(개),2023-01,4종,14447
91,대동(개),2023-01,5종,6278
91,대동(개),2023-01,6종,4924
92,내서,2023-01,1종,212890
92,내서,2023-01,2종,5898
92,내서,2023-01,3종,9520
92,내서,2023-01,4종,4592
92,내서,2023-01,5종,10729
92,내서,2023-01,6종,14818
101,서울,2023-01,1종,4960711
101,서울,2023-01,2종,132906
101,서울,2023-01,3종,486233
101,서울,2023-01,4종,123286
101,서울,2023-01,5종,58827
101,서울,2023-01,6종,202453
102,동수원,2023-01,1종,2079513
102,동수원,2023-01,2종,24587
102,동수원,2023-01,3종,60286
102,동수원,2023-01,4종,8969
102,동수원,2023-01,5종,10003
102,동수원,2023-01,6종,104131
