영업소코드,영업소명,연도,차종,교통량
11,인천,2009,1종,41971208
11,인천,2009,2종,1724381
11,인천,2009,3종,787437
11,인천,2009,4종,648883
11,인천,2009,5종,1639810
11,인천,2009,6종,2947409
53,남인천,2009,1종,23587424
53,남인천,2009,2종,777028
53,남인천,2009,3종,715837
53,남인천,2009,4종,283261
53,남인천,2009,5종,1019794
53,남인천,2009,6종,1458127
56,일로,2009,1종,320414
56,일로,2009,2종,11425
56,일로,2009,3종,5451
56,일로,2009,4종,3577
56,일로,2009,5종,9187
56,일로,2009,6종,15232
61,성남,2009,1종,42375191
61,성남,2009,2종,2240715
61,성남,2009,3종,1557383
61,성남,2009,4종,630023
61,성남,2009,5종,733186
61,성남,2009,6종,2142004
62,구리남양주,2009,1종,56983148
62,구리남양주,2009,2종,3161925
62,구리남양주,2009,3종,1817791
62,구리남양주,2009,4종,989597
62,구리남양주,2009,5종,1095795
62,구리남양주,2009,6종,2975697
63,토평,2009,1종,5346268
63,토평,2009,2종,259368
63,토평,2009,3종,77720
63,토평,2009,4종,76590
63,토평,2009,5종,108736
63,토평,2009,6종,286595
64,청계,2009,1종,52360262
64,청계,2009,2종,2318430
64,청계,2009,3종,1511534
64,청계,2009,4종,468519
64,청계,2009,5종,1028673
64,청계,2009,6종,2922136
65,판교,2009,1종,28252794
65,판교,2009,2종,625351
65,판교,2009,3종,1811465
65,판교,2009,4종,261105
65,판교,2009,5종,278203
65,판교,2009,6종,1197712
66,하남,2009,1종,9306170
66,하남,2009,2종,379338
66,하남,2009,3종,198067
66,하남,2009,4종,95310
66,하남,2009,5종,140613
66,하남,2009,6종,445300
67,시흥,2009,1종,45294847
67,시흥,2009,2종,2260825
67,시흥,2009,3종,1421336
67,시흥,2009,4종,760856
67,시흥,2009,5종,988281
67,시흥,2009,6종,2558767
68,김포,2009,1종,51144698
68,김포,2009,2종,2637249
68,김포,2009,3종,1200636
68,김포,2009,4종,742926
68,김포,2009,5종,1351543
68,김포,2009,6종,2942162
69,대왕판교,2009,1종,2818434
69,대왕판교,2009,2종,16037
69,대왕판교,2009,3종,2993
69,대왕판교,2009,4종,815
69,대왕판교,2009,5종,234
69,대왕판교,2009,6종,112170
74,덕소삼패,2009,1종,864426
74,덕소삼패,2009,2종,21883
74,덕소삼패,2009,3종,8655
74,덕소삼패,2009,4종,18996
74,덕소삼패,2009,5종,31207
74,덕소삼패,2009,6종,44973
91,대동(개),2009,1종,1776607
91,대동(개),2009,2종,140752
91,대동(개),2009,3종,40014
91,대동(개),2009,4종,290211
91,대동(개),2009,5종,102272
91,대동(개),2009,6종,110074
92,내서,2009,1종,3264677
92,내서,2009,2종,155636
92,내서,2009,3종,117658
92,내서,2009,4종,37666
92,내서,2009,5종,96874
92,내서,2009,6종,242950
101,서울,2009,1종,56922361
101,서울,2009,2종,2679259
101,서울,2009,3종,5862627
101,서울,2009,4종,812013
101,서울,2009,5종,584406
101,서울,2009,6종,2157486
102,동수원,2009,1종,22857048
102,동수원,2009,2종,574335
102,동수원,2009,3종,877912
102,동수원,2009,4종,182645
102,동수원,2009,5종,389714
102,동수원,2009,6종,1106935
103,수원신갈,2009,1종,26298402
103,수원신갈,2009,2종,1292337
103,수원신갈,2009,3종,1473243
103,수원신갈,2009,4종,361696
103,수원신갈,2009,5종,345413
