영업소코드,영업소명,연월,차종,교통량
11,인천,2012-01,1종,3486935
11,인천,2012-01,2종,124655
11,인천,2012-01,3종,62987
11,인천,2012-01,4종,60573
11,인천,2012-01,5종,109351
11,인천,2012-01,6종,286634
53,남인천,2012-01,1종,1635216
53,남인천,2012-01,2종,44706
53,남인천,2012-01,3종,49359
53,남인천,2012-01,4종,19705
53,남인천,2012-01,5종,50919
53,남인천,2012-01,6종,124871
56,일로,2012-01,1종,35526
56,일로,2012-01,2종,1231
56,일로,2012-01,3종,717
56,일로,2012-01,4종,554
56,일로,2012-01,5종,1023
56,일로,2012-01,6종,1408
61,성남,2012-01,1종,3500102
61,성남,2012-01,2종,141297
61,성남,2012-01,3종,127095
61,성남,2012-01,4종,52340
61,성남,2012-01,5종,52588
61,성남,2012-01,6종,219246
62,구리남양주,2012-01,1종,4538853
62,구리남양주,2012-01,2종,210153
62,구리남양주,2012-01,3종,144606
62,구리남양주,2012-01,4종,80148
62,구리남양주,2012-01,5종,67613
62,구리남양주,2012-01,6종,297704
63,토평,2012-01,1종,461980
63,토평,2012-01,2종,15910
63,토평,2012-01,3종,6192
63,토평,2012-01,4종,5170
63,토평,2012-01,5종,10731
63,토평,2012-01,6종,31488
64,청계,2012-01,1종,4141806
64,청계,2012-01,2종,148876
64,청계,2012-01,3종,134682
64,청계,2012-01,4종,35585
64,청계,2012-01,5종,58273
64,청계,2012-01,6종,282033
65,판교,2012-01,1종,2619012
65,판교,2012-01,2종,44455
65,판교,2012-01,3종,174083
65,판교,2012-01,4종,16782
65,판교,2012-01,5종,9415
65,판교,2012-01,6종,134110
66,하남,2012-01,1종,675778
66,하남,2012-01,2종,21141
66,하남,2012-01,3종,12876
66,하남,2012-01,4종,6195
66,하남,2012-01,5종,8640
66,하남,2012-01,6종,44420
67,시흥,2012-01,1종,3676545
67,시흥,2012-01,2종,137141
67,시흥,2012-01,3종,105681
67,시흥,2012-01,4종,59121
67,시흥,2012-01,5종,64862
67,시흥,2012-01,6종,249989
68,김포,2012-01,1종,4300892
68,김포,2012-01,2종,174623
68,김포,2012-01,3종,116263
68,김포,2012-01,4종,65546
68,김포,2012-01,5종,94971
68,김포,2012-01,6종,305266
69,대왕판교,2012-01,1종,155889
69,대왕판교,2012-01,2종,799
69,대왕판교,2012-01,3종,235
69,대왕판교,2012-01,4종,27
69,대왕판교,2012-01,5종,10
69,대왕판교,2012-01,6종,8433
74,덕소삼패,2012-01,1종,242939
74,덕소삼패,2012-01,2종,6733
74,덕소삼패,2012-01,3종,3148
74,덕소삼패,2012-01,4종,2220
74,덕소삼패,2012-01,5종,10974
74,덕소삼패,2012-01,6종,15865
91,대동(개),2012-01,1종,144609
91,대동(개),2012-01,2종,10592
91,대동(개),2012-01,3종,4278
91,대동(개),2012-01,4종,14296
91,대동(개),2012-01,5종,34424
91,대동(개),2012-01,6종,9019
92,내서,2012-01,1종,233119
92,내서,2012-01,2종,9307
92,내서,2012-01,3종,9985
92,내서,2012-01,4종,3223
92,내서,2012-01,5종,6045
92,내서,2012-01,6종,20256
101,서울,2012-01,1종,4726111
101,서울,2012-01,2종,177092
101,서울,2012-01,3종,515486
101,서울,2012-01,4종,77795
101,서울,2012-01,5종,42464
101,서울,2012-01,6종,210827
102,동수원,2012-01,1종,1662813
102,동수원,2012-01,2종,35463
102,동수원,2012-01,3종,65352
102,동수원,2012-01,4종,14241
102,동수원,2012-01,5종,23770
102,동수원,2012-01,6종,91141
103,수원신갈,2012-01,1종,2185607
103,수원신갈,2012-01,2종,92874
103,수원신갈,2012-01,3종,139959
103,수원신갈,2012-01,4종,31883
103,수원신갈,2012-01,5종,23518
103,수원신갈,2012-01,6종,115255
104,지곡,2012-01,1종,37713
104,지곡,2012-01,2종,1715
104,지곡,2012-01,3종,1658
104,지곡,2012-01,4종,1290
104,지곡,2012-01,5종,1622
104,지곡,2012-01,6종,1485
105,기흥,2012-01,1종,297793
105,기흥,2012-01,2종,31031
105,기흥,2012-01,3종,16605
105,기흥,2012-01,4종,9539
105,기흥,2012-01,5종,8737
105,기흥,2012-01,6종,16552
106,오산,2012-01,1종,994337
106,오산,2012-01,2종,70837
106,오산,2012-01,3종,70976
106,오산,2012-01,4종,31709
106,오산,2012-01,5종,22535
106,오산,2012-01,6종,56207
107,안성,2012-01,1종,768346
107,안성,2012-01,2종,40571
107,안성,2012-01,3종,53092
107,안성,2012-01,4종,19726
107,안성,2012-01,5종,14161
107,안성,2012-01,6종,42690
108,천안,2012-01,1종,1305562
108,천안,2012-01,2종,58631
108,천안,2012-01,3종,91602
108,천안,2012-01,4종,43630
108,천안,2012-01,5종,40074
108,천안,2012-01,6종,62763
109,계룡,2012-01,1종,138452
109,계룡,2012-01,2종,10790
109,계룡,2012-01,3종,11104
109,계룡,2012-01,4종,7985
109,계룡,2012-01,5종,4062
109,계룡,2012-01,6종,8768
110,독립기념관,2012-01,1종,291506
110,독립기념관,2012-01,2종,23224
110,독립기념관,2012-01,3종,23422
110,독립기념관,2012-01,4종,29402
110,독립기념관,2012-01,5종,20691
110,독립기념관,2012-01,6종,11733
111,청주,2012-01,1종,438807
111,청주,2012-01,2종,19109
111,청주,2012-01,3종,45686
111,청주,2012-01,4종,12208
111,청주,2012-01,5종,16830
111,청주,2012-01,6종,20361
112,남청주,2012-01,1종,447414
112,남청주,2012-01,2종,45421
112,남청주,2012-01,3종,32988
112,남청주,2012-01,4종,41615
112,남청주,2012-01,5종,34957
112,남청주,2012-01,6종,19110
113,신탄진,2012-01,1종,690665
113,신탄진,2012-01,2종,50928
113,신탄진,2012-01,3종,24471
113,신탄진,2012-01,4종,44215
113,신탄진,2012-01,5종,40514
113,신탄진,2012-01,6종,33212
114,남대전,2012-01,1종,253068
114,남대전,2012-01,2종,10901
114,남대전,2012-01,3종,6355
114,남대전,2012-01,4종,3582
114,남대전,2012-01,5종,5662
114,남대전,2012-01,6종,12230
115,대전,2012-01,1종,1183064
115,대전,2012-01,2종,39442
115,대전,2012-01,3종,77207
115,대전,2012-01,4종,14959
115,대전,2012-01,5종,13172
115,대전,2012-01,6종,57313
116,옥천,2012-01,1종,333014
116,옥천,2012-01,2종,21433
116,옥천,2012-01,3종,14507
116,옥천,2012-01,4종,32145
116,옥천,2012-01,5종,11849
116,옥천,2012-01,6종,16982
117,금강,2012-01,1종,29494
117,금강,2012-01,2종,1518
117,금강,2012-01,3종,581
117,금강,2012-01,4종,2684
117,금강,2012-01,5종,499
117,금강,2012-01,6종,1648
118,영동,2012-01,1종,84643
