영업소코드,영업소명,연월,차종,교통량
11,인천,2022-01,1종,4095376
11,인천,2022-01,2종,99569
11,인천,2022-01,3종,59287
11,인천,2022-01,4종,65758
11,인천,2022-01,5종,130784
11,인천,2022-01,6종,291032
12,서영암(개),2022-01,1종,65670
12,서영암(개),2022-01,2종,809
12,서영암(개),2022-01,3종,1063
12,서영암(개),2022-01,4종,1352
12,서영암(개),2022-01,5종,1637
12,서영암(개),2022-01,6종,2374
13,순천만,2022-01,1종,172657
13,순천만,2022-01,2종,4002
13,순천만,2022-01,3종,3991
13,순천만,2022-01,4종,3306
13,순천만,2022-01,5종,8818
13,순천만,2022-01,6종,6382
25,동부산,2022-01,1종,528531
25,동부산,2022-01,2종,2583
25,동부산,2022-01,3종,1810
25,동부산,2022-01,4종,3044
25,동부산,2022-01,5종,2649
25,동부산,2022-01,6종,12922
29,가락(개),2022-01,1종,909582
29,가락(개),2022-01,2종,19008
29,가락(개),2022-01,3종,18984
29,가락(개),2022-01,4종,20025
29,가락(개),2022-01,5종,124769
29,가락(개),2022-01,6종,64368
53,남인천,2022-01,1종,1969790
53,남인천,2022-01,2종,42994
53,남인천,2022-01,3종,37683
53,남인천,2022-01,4종,26558
53,남인천,2022-01,5종,51919
53,남인천,2022-01,6종,128295
56,일로,2022-01,1종,34327
56,일로,2022-01,2종,591
56,일로,2022-01,3종,392
56,일로,2022-01,4종,961
56,일로,2022-01,5종,2270
56,일로,2022-01,6종,1619
61,성남,2022-01,1종,4751129
61,성남,2022-01,2종,137872
61,성남,2022-01,3종,126492
61,성남,2022-01,4종,116887
61,성남,2022-01,5종,97239
61,성남,2022-01,6종,260152
62,구리남양주,2022-01,1종,4976465
62,구리남양주,2022-01,2종,156962
62,구리남양주,2022-01,3종,124515
62,구리남양주,2022-01,4종,137374
62,구리남양주,2022-01,5종,109094
62,구리남양주,2022-01,6종,297739
63,토평,2022-01,1종,676809
63,토평,2022-01,2종,20584
63,토평,2022-01,3종,12944
63,토평,2022-01,4종,16648
63,토평,2022-01,5종,17402
63,토평,2022-01,6종,41950
64,청계,2022-01,1종,4237452
64,청계,2022-01,2종,98844
64,청계,2022-01,3종,103675
64,청계,2022-01,4종,57797
64,청계,2022-01,5종,69673
64,청계,2022-01,6종,246224
65,판교,2022-01,1종,2250285
65,판교,2022-01,2종,24176
65,판교,2022-01,3종,112807
65,판교,2022-01,4종,9079
65,판교,2022-01,5종,8791
65,판교,2022-01,6종,99040
66,하남,2022-01,1종,899401
66,하남,2022-01,2종,21730
