영업소코드,영업소명,연월,차종,교통량
11,인천,2003-01,1종,3103454
11,인천,2003-01,2종,161830
11,인천,2003-01,3종,44548
11,인천,2003-01,4종,58137
11,인천,2003-01,5종,107083
11,인천,2003-01,6종,183437
22,,2003-01,1종,424156
22,,2003-01,2종,22617
22,,2003-01,3종,18649
22,,2003-01,4종,8295
22,,2003-01,5종,16326
22,,2003-01,6종,19188
53,남인천,2003-01,1종,1471362
53,남인천,2003-01,2종,79163
53,남인천,2003-01,3종,19894
53,남인천,2003-01,4종,21213
53,남인천,2003-01,5종,92858
53,남인천,2003-01,6종,82792
56,일로,2003-01,1종,17653
56,일로,2003-01,2종,998
56,일로,2003-01,3종,65
56,일로,2003-01,4종,156
56,일로,2003-01,5종,253
56,일로,2003-01,6종,983
61,성남,2003-01,1종,2353808
61,성남,2003-01,2종,178624
61,성남,2003-01,3종,63566
61,성남,2003-01,4종,28175
61,성남,2003-01,5종,40663
61,성남,2003-01,6종,104359
62,구리남양주,2003-01,1종,3244926
62,구리남양주,2003-01,2종,232452
62,구리남양주,2003-01,3종,57582
62,구리남양주,2003-01,4종,46024
62,구리남양주,2003-01,5종,55217
62,구리남양주,2003-01,6종,145880
63,토평,2003-01,1종,554548
63,토평,2003-01,2종,20291
63,토평,2003-01,3종,6877
63,토평,2003-01,4종,7375
63,토평,2003-01,5종,7967
63,토평,2003-01,6종,26435
64,청계,2003-01,1종,3589556
64,청계,2003-01,2종,216693
64,청계,2003-01,3종,70976
64,청계,2003-01,4종,30394
64,청계,2003-01,5종,64058
64,청계,2003-01,6종,168168
65,판교,2003-01,1종,1952162
65,판교,2003-01,2종,60480
65,판교,2003-01,3종,86586
65,판교,2003-01,4종,15250
65,판교,2003-01,5종,10639
65,판교,2003-01,6종,76023
66,하남,2003-01,1종,318192
66,하남,2003-01,2종,23174
66,하남,2003-01,3종,10351
66,하남,2003-01,4종,7894
66,하남,2003-01,5종,5598
66,하남,2003-01,6종,13895
67,시흥,2003-01,1종,3083568
67,시흥,2003-01,2종,206016
67,시흥,2003-01,3종,54704
67,시흥,2003-01,4종,33736
67,시흥,2003-01,5종,38378
67,시흥,2003-01,6종,142122
68,김포,2003-01,1종,3078663
68,김포,2003-01,2종,213855
68,김포,2003-01,3종,33923
68,김포,2003-01,4종,34029
68,김포,2003-01,5종,66804
68,김포,2003-01,6종,144517
91,대동(개),2003-01,1종,125143
91,대동(개),2003-01,2종,12329
91,대동(개),2003-01,3종,1062
91,대동(개),2003-01,4종,30902
91,대동(개),2003-01,5종,9227
91,대동(개),2003-01,6종,7459
101,서울,2003-01,1종,4671245
101,서울,2003-01,2종,300443
101,서울,2003-01,3종,342965
101,서울,2003-01,4종,56224
101,서울,2003-01,5종,46314
101,서울,2003-01,6종,177984
102,동수원,2003-01,1종,1585173
102,동수원,2003-01,2종,73084
