영업소코드,영업소명,연월,차종,교통량
11,인천,2015-01,1종,3506410
11,인천,2015-01,2종,114132
11,인천,2015-01,3종,80764
11,인천,2015-01,4종,61892
11,인천,2015-01,5종,104834
11,인천,2015-01,6종,325324
12,서영암(개),2015-01,1종,31789
12,서영암(개),2015-01,2종,596
12,서영암(개),2015-01,3종,693
12,서영암(개),2015-01,4종,438
12,서영암(개),2015-01,5종,571
12,서영암(개),2015-01,6종,1921
13,순천만,2015-01,1종,115178
13,순천만,2015-01,2종,3694
13,순천만,2015-01,3종,3473
13,순천만,2015-01,4종,2694
13,순천만,2015-01,5종,8632
13,순천만,2015-01,6종,5191
29,가락(개),2015-01,1종,666160
29,가락(개),2015-01,2종,20256
29,가락(개),2015-01,3종,19673
29,가락(개),2015-01,4종,22675
29,가락(개),2015-01,5종,122165
29,가락(개),2015-01,6종,56297
53,남인천,2015-01,1종,1616603
53,남인천,2015-01,2종,39407
53,남인천,2015-01,3종,52069
53,남인천,2015-01,4종,18888
53,남인천,2015-01,5종,50272
53,남인천,2015-01,6종,136914
56,일로,2015-01,1종,31575
56,일로,2015-01,2종,826
56,일로,2015-01,3종,355
56,일로,2015-01,4종,759
56,일로,2015-01,5종,1340
56,일로,2015-01,6종,1761
61,성남,2015-01,1종,3786613
61,성남,2015-01,2종,142010
61,성남,2015-01,3종,149704
61,성남,2015-01,4종,81014
61,성남,2015-01,5종,74239
61,성남,2015-01,6종,273299
62,구리남양주,2015-01,1종,4781944
62,구리남양주,2015-01,2종,194368
62,구리남양주,2015-01,3종,185667
62,구리남양주,2015-01,4종,127075
62,구리남양주,2015-01,5종,89764
62,구리남양주,2015-01,6종,368366
63,토평,2015-01,1종,439896
63,토평,2015-01,2종,13225
63,토평,2015-01,3종,6722
63,토평,2015-01,4종,10002
63,토평,2015-01,5종,8553
63,토평,2015-01,6종,36851
64,청계,2015-01,1종,4393170
64,청계,2015-01,2종,139768
64,청계,2015-01,3종,147134
64,청계,2015-01,4종,44302
64,청계,2015-01,5종,65147
64,청계,2015-01,6종,343191
65,판교,2015-01,1종,2818694
65,판교,2015-01,2종,41272
65,판교,2015-01,3종,178364
65,판교,2015-01,4종,15283
65,판교,2015-01,5종,11084
65,판교,2015-01,6종,170248
66,하남,2015-01,1종,775411
66,하남,2015-01,2종,25554
66,하남,2015-01,3종,15342
66,하남,2015-01,4종,7352
66,하남,2015-01,5종,8129
66,하남,2015-01,6종,62142
67,시흥,2015-01,1종,3760581
67,시흥,2015-01,2종,129982
67,시흥,2015-01,3종,127886
67,시흥,2015-01,4종,70487
67,시흥,2015-01,5종,62109
67,시흥,2015-01,6종,296036
68,김포,2015-01,1종,4458723
68,김포,2015-01,2종,172255
68,김포,2015-01,3종,142090
68,김포,2015-01,4종,76421
68,김포,2015-01,5종,101367
68,김포,2015-01,6종,376370
69,대왕판교,2015-01,1종,195889
69,대왕판교,2015-01,2종,1294
69,대왕판교,2015-01,3종,155
69,대왕판교,2015-01,4종,49
69,대왕판교,2015-01,5종,9
69,대왕판교,2015-01,6종,11892
74,덕소삼패,2015-01,1종,260875
74,덕소삼패,2015-01,2종,6975
74,덕소삼패,2015-01,3종,3742
74,덕소삼패,2015-01,4종,7276
74,덕소삼패,2015-01,5종,8073
74,덕소삼패,2015-01,6종,22023
91,대동(개),2015-01,1종,126376
91,대동(개),2015-01,2종,9560
91,대동(개),2015-01,3종,5746
91,대동(개),2015-01,4종,17141
91,대동(개),2015-01,5종,8177
91,대동(개),2015-01,6종,8849
92,내서,2015-01,1종,208263
92,내서,2015-01,2종,7858
92,내서,2015-01,3종,9816
92,내서,2015-01,4종,3742
92,내서,2015-01,5종,6539
92,내서,2015-01,6종,18868
101,서울,2015-01,1종,5097467
101,서울,2015-01,2종,179314
101,서울,2015-01,3종,570036
101,서울,2015-01,4종,90612
101,서울,2015-01,5종,54317
101,서울,2015-01,6종,251876
102,동수원,2015-01,1종,2093728
102,동수원,2015-01,2종,37811
102,동수원,2015-01,3종,83401
102,동수원,2015-01,4종,13352
102,동수원,2015-01,5종,16501
102,동수원,2015-01,6종,135869
103,수원신갈,2015-01,1종,2351353
103,수원신갈,2015-01,2종,93611
103,수원신갈,2015-01,3종,161903
103,수원신갈,2015-01,4종,38536
103,수원신갈,2015-01,5종,24136
103,수원신갈,2015-01,6종,134930
104,지곡,2015-01,1종,40131
104,지곡,2015-01,2종,1248
104,지곡,2015-01,3종,1805
104,지곡,2015-01,4종,1866
104,지곡,2015-01,5종,2036
104,지곡,2015-01,6종,1503
105,기흥,2015-01,1종,389853
105,기흥,2015-01,2종,24320
105,기흥,2015-01,3종,16233
105,기흥,2015-01,4종,9646
105,기흥,2015-01,5종,12347
105,기흥,2015-01,6종,23309
106,오산,2015-01,1종,1073926
106,오산,2015-01,2종,90510
106,오산,2015-01,3종,107357
106,오산,2015-01,4종,45535
106,오산,2015-01,5종,30839
106,오산,2015-01,6종,73066
107,안성,2015-01,1종,799194
107,안성,2015-01,2종,31338
107,안성,2015-01,3종,51533
107,안성,2015-01,4종,16991
107,안성,2015-01,5종,12020
107,안성,2015-01,6종,55867
108,천안,2015-01,1종,1441339
108,천안,2015-01,2종,45193
108,천안,2015-01,3종,101026
108,천안,2015-01,4종,37194
108,천안,2015-01,5종,29918
108,천안,2015-01,6종,73344
109,계룡,2015-01,1종,120327
109,계룡,2015-01,2종,9015
109,계룡,2015-01,3종,11027
109,계룡,2015-01,4종,8305
109,계룡,2015-01,5종,3719
109,계룡,2015-01,6종,7644
110,독립기념관,2015-01,1종,303772
110,독립기념관,2015-01,2종,18590
110,독립기념관,2015-01,3종,21065
110,독립기념관,2015-01,4종,20292
110,독립기념관,2015-01,5종,16954
110,독립기념관,2015-01,6종,13582
111,청주,2015-01,1종,473656
111,청주,2015-01,2종,19469
111,청주,2015-01,3종,49309
111,청주,2015-01,4종,15529
111,청주,2015-01,5종,18795
111,청주,2015-01,6종,24815
112,남청주,2015-01,1종,459104
112,남청주,2015-01,2종,38025
112,남청주,2015-01,3종,38022
112,남청주,2015-01,4종,46480
112,남청주,2015-01,5종,36582
112,남청주,2015-01,6종,21665
113,신탄진,2015-01,1종,716833
113,신탄진,2015-01,2종,41396
113,신탄진,2015-01,3종,33963
113,신탄진,2015-01,4종,58341
113,신탄진,2015-01,5종,48797
113,신탄진,2015-01,6종,41454
114,남대전,2015-01,1종,292697
114,남대전,2015-01,2종,10834
114,남대전,2015-01,3종,10904
114,남대전,2015-01,4종,5470
114,남대전,2015-01,5종,7872
114,남대전,2015-01,6종,15123
115,대전,2015-01,1종,1280086
115,대전,2015-01,2종,36505
115,대전,2015-01,3종,80220
115,대전,2015-01,4종,15981
115,대전,2015-01,5종,14579
115,대전,2015-01,6종,71560
116,옥천,2015-01,1종,343833
116,옥천,2015-01,2종,20057
116,옥천,2015-01,3종,19028
116,옥천,2015-01,4종,35093
116,옥천,2015-01,5종,19486
116,옥천,2015-01,6종,21317
117,금강,2015-01,1종,29625
117,금강,2015-01,2종,1604
117,금강,2015-01,3종,1562
117,금강,2015-01,4종,3566
117,금강,2015-01,5종,786
117,금강,2015-01,6종,1777
118,영동,2015-01,1종,72270
118,영동,2015-01,2종,4306
118,영동,2015-01,3종,4353
118,영동,2015-01,4종,2814
118,영동,2015-01,5종,5271
118,영동,2015-01,6종,3397
119,판암,2015-01,1종,443027
119,판암,2015-01,2종,13835
119,판암,2015-01,3종,9739
119,판암,2015-01,4종,6134
119,판암,2015-01,5종,5882
119,판암,2015-01,6종,26677
120,황간,2015-01,1종,68891
120,황간,2015-01,2종,2199
120,황간,2015-01,3종,4245
120,황간,2015-01,4종,4171
120,황간,2015-01,5종,5398
120,황간,2015-01,6종,2832
121,추풍령,2015-01,1종,34304
121,추풍령,2015-01,2종,1088
121,추풍령,2015-01,3종,1999
121,추풍령,2015-01,4종,976
121,추풍령,2015-01,5종,1327
121,추풍령,2015-01,6종,1823
122,김천,2015-01,1종,206264
122,김천,2015-01,2종,7022
122,김천,2015-01,3종,10740
122,김천,2015-01,4종,9919
122,김천,2015-01,5종,8088
122,김천,2015-01,6종,10058
123,구미,2015-01,1종,776879
123,구미,2015-01,2종,18909
123,구미,2015-01,3종,35540
123,구미,2015-01,4종,18624
123,구미,2015-01,5종,14356
123,구미,2015-01,6종,39980
124,상주,2015-01,1종,112964
124,상주,2015-01,2종,5351
124,상주,2015-01,3종,5162
124,상주,2015-01,4종,6142
124,상주,2015-01,5종,7339
124,상주,2015-01,6종,3804
125,남구미,2015-01,1종,546227
125,남구미,2015-01,2종,21724
125,남구미,2015-01,3종,31337
125,남구미,2015-01,4종,22120
125,남구미,2015-01,5종,39254
125,남구미,2015-01,6종,31013
126,왜관,2015-01,1종,586035
126,왜관,2015-01,2종,46527
126,왜관,2015-01,3종,29097
126,왜관,2015-01,4종,23636
126,왜관,2015-01,5종,29777
126,왜관,2015-01,6종,29246
127,서대구,2015-01,1종,1842851
127,서대구,2015-01,2종,85958
127,서대구,2015-01,3종,100848
127,서대구,2015-01,4종,50823
127,서대구,2015-01,5종,56897
127,서대구,2015-01,6종,83794
128,금왕꽃동네,2015-01,1종,90778
128,금왕꽃동네,2015-01,2종,9500
128,금왕꽃동네,2015-01,3종,10918
128,금왕꽃동네,2015-01,4종,7564
128,금왕꽃동네,2015-01,5종,9770
128,금왕꽃동네,2015-01,6종,4185
129,북대구,2015-01,1종,1717045
129,북대구,2015-01,2종,57051
129,북대구,2015-01,3종,50164
129,북대구,2015-01,4종,24369
129,북대구,2015-01,5종,25822
129,북대구,2015-01,6종,76801
130,동김천,2015-01,1종,143325
130,동김천,2015-01,2종,5891
130,동김천,2015-01,3종,9988
130,동김천,2015-01,4종,7854
130,동김천,2015-01,5종,13567
130,동김천,2015-01,6종,5670
131,경산,2015-01,1종,786775
131,경산,2015-01,2종,72045
131,경산,2015-01,3종,53701
131,경산,2015-01,4종,44693
131,경산,2015-01,5종,39031
131,경산,2015-01,6종,42666
132,영천,2015-01,1종,389715
132,영천,2015-01,2종,23618
132,영천,2015-01,3종,28559
132,영천,2015-01,4종,22600
132,영천,2015-01,5종,40810
132,영천,2015-01,6종,16008
133,서경주,2015-01,1종,170297
133,서경주,2015-01,2종,8221
133,서경주,2015-01,3종,12514
133,서경주,2015-01,4종,9867
133,서경주,2015-01,5종,27154
133,서경주,2015-01,6종,5754
134,선산,2015-01,1종,80170
134,선산,2015-01,2종,4507
134,선산,2015-01,3종,4931
134,선산,2015-01,4종,5304
134,선산,2015-01,5종,4346
134,선산,2015-01,6종,2899
135,경주,2015-01,1종,873160
135,경주,2015-01,2종,38015
135,경주,2015-01,3종,69875
135,경주,2015-01,4종,43034
135,경주,2015-01,5종,95662
135,경주,2015-01,6종,34180
136,음성,2015-01,1종,116968
136,음성,2015-01,2종,7299
136,음성,2015-01,3종,7862
136,음성,2015-01,4종,6210
136,음성,2015-01,5종,6253
136,음성,2015-01,6종,4964
137,통도사,2015-01,1종,284965
137,통도사,2015-01,2종,17243
137,통도사,2015-01,3종,13935
137,통도사,2015-01,4종,11737
137,통도사,2015-01,5종,16863
137,통도사,2015-01,6종,15116
138,양산,2015-01,1종,702125
138,양산,2015-01,2종,73247
138,양산,2015-01,3종,45326
138,양산,2015-01,4종,46213
138,양산,2015-01,5종,59160
138,양산,2015-01,6종,38432
139,서울산,2015-01,1종,454820
139,서울산,2015-01,2종,24906
