영업소코드,영업소명,연도,차종,교통량
11,인천,2016,1종,45915238
11,인천,2016,2종,1400502
11,인천,2016,3종,1024471
11,인천,2016,4종,786548
11,인천,2016,5종,1820821
11,인천,2016,6종,4121502
12,서영암(개),2016,1종,596562
12,서영암(개),2016,2종,9747
12,서영암(개),2016,3종,13139
12,서영암(개),2016,4종,8810
12,서영암(개),2016,5종,12956
12,서영암(개),2016,6종,30720
13,순천만,2016,1종,1675742
13,순천만,2016,2종,50711
13,순천만,2016,3종,58086
13,순천만,2016,4종,40443
13,순천만,2016,5종,99046
13,순천만,2016,6종,81920
25,동부산,2016,1종,1376936
25,동부산,2016,2종,10478
25,동부산,2016,3종,21416
25,동부산,2016,4종,3949
25,동부산,2016,5종,19115
25,동부산,2016,6종,66173
29,가락(개),2016,1종,9363489
29,가락(개),2016,2종,261372
29,가락(개),2016,3종,266432
29,가락(개),2016,4종,256112
29,가락(개),2016,5종,1293112
29,가락(개),2016,6종,754042
53,남인천,2016,1종,22248893
53,남인천,2016,2종,521793
53,남인천,2016,3종,716594
53,남인천,2016,4종,248297
53,남인천,2016,5종,737814
53,남인천,2016,6종,1858594
56,일로,2016,1종,462615
56,일로,2016,2종,29698
56,일로,2016,3종,9588
56,일로,2016,4종,10815
56,일로,2016,5종,12918
56,일로,2016,6종,29199
61,성남,2016,1종,49636913
61,성남,2016,2종,1961002
61,성남,2016,3종,1963289
61,성남,2016,4종,1312669
61,성남,2016,5종,1942050
61,성남,2016,6종,3463240
62,구리남양주,2016,1종,62966547
62,구리남양주,2016,2종,2423448
62,구리남양주,2016,3종,2290253
62,구리남양주,2016,4종,1824649
62,구리남양주,2016,5종,1656880
62,구리남양주,2016,6종,4656478
63,토평,2016,1종,5276230
63,토평,2016,2종,160786
63,토평,2016,3종,87142
63,토평,2016,4종,152335
63,토평,2016,5종,108284
63,토평,2016,6종,438883
64,청계,2016,1종,56178962
64,청계,2016,2종,1722008
64,청계,2016,3종,1823242
64,청계,2016,4종,649103
64,청계,2016,5종,1067775
64,청계,2016,6종,4183309
65,판교,2016,1종,35790147
65,판교,2016,2종,497710
65,판교,2016,3종,2094373
65,판교,2016,4종,173891
65,판교,2016,5종,230857
65,판교,2016,6종,2065880
66,하남,2016,1종,11693496
66,하남,2016,2종,377551
66,하남,2016,3종,222723
66,하남,2016,4종,127668
66,하남,2016,5종,379121
66,하남,2016,6종,894346
67,시흥,2016,1종,47602642
67,시흥,2016,2종,1545463
67,시흥,2016,3종,1580936
67,시흥,2016,4종,1031181
67,시흥,2016,5종,1219488
67,시흥,2016,6종,3544170
68,김포,2016,1종,57915518
68,김포,2016,2종,2074825
68,김포,2016,3종,1827690
68,김포,2016,4종,1069903
68,김포,2016,5종,1680057
68,김포,2016,6종,4646918
69,대왕판교,2016,1종,2927583
69,대왕판교,2016,2종,22703
69,대왕판교,2016,3종,893
69,대왕판교,2016,4종,272
69,대왕판교,2016,5종,154
69,대왕판교,2016,6종,168119
74,덕소삼패,2016,1종,4140284
