영업소코드,영업소명,연도,차종,교통량
11,인천,2024,1종,51798655
11,인천,2024,2종,1237845
11,인천,2024,3종,719964
11,인천,2024,4종,798333
11,인천,2024,5종,1444947
11,인천,2024,6종,3529712
12,서영암(개),2024,1종,968273
12,서영암(개),2024,2종,11096
12,서영암(개),2024,3종,17828
12,서영암(개),2024,4종,17227
12,서영암(개),2024,5종,29634
12,서영암(개),2024,6종,35996
13,순천만,2024,1종,2326379
13,순천만,2024,2종,55734
13,순천만,2024,3종,70318
13,순천만,2024,4종,47328
13,순천만,2024,5종,111586
13,순천만,2024,6종,85921
25,동부산,2024,1종,6248583
25,동부산,2024,2종,32045
25,동부산,2024,3종,80059
25,동부산,2024,4종,44613
25,동부산,2024,5종,39323
25,동부산,2024,6종,130466
29,가락(개),2024,1종,11669129
29,가락(개),2024,2종,226866
29,가락(개),2024,3종,245149
29,가락(개),2024,4종,238583
29,가락(개),2024,5종,1195257
29,가락(개),2024,6종,819951
53,남인천,2024,1종,26807434
53,남인천,2024,2종,539962
53,남인천,2024,3종,496099
53,남인천,2024,4종,345059
53,남인천,2024,5종,617234
53,남인천,2024,6종,1645887
56,일로,2024,1종,448146
56,일로,2024,2종,7336
56,일로,2024,3종,6398
56,일로,2024,4종,8754
56,일로,2024,5종,23037
56,일로,2024,6종,21360
57,다사,2024,1종,1136932
57,다사,2024,2종,18380
57,다사,2024,3종,14745
57,다사,2024,4종,8980
57,다사,2024,5종,8200
57,다사,2024,6종,78988
58,지천,2024,1종,690372
58,지천,2024,2종,15404
58,지천,2024,3종,12733
58,지천,2024,4종,8163
58,지천,2024,5종,14081
58,지천,2024,6종,39625
61,성남,2024,1종,59704486
61,성남,2024,2종,1593031
61,성남,2024,3종,1521458
61,성남,2024,4종,1273432
61,성남,2024,5종,1135912
61,성남,2024,6종,3126357
62,구리남양주,2024,1종,61755969
62,구리남양주,2024,2종,1850904
62,구리남양주,2024,3종,1417175
62,구리남양주,2024,4종,1458132
62,구리남양주,2024,5종,1216135
62,구리남양주,2024,6종,3542585
63,토평,2024,1종,7881879
63,토평,2024,2종,243568
63,토평,2024,3종,156281
63,토평,2024,4종,180735
63,토평,2024,5종,209506
63,토평,2024,6종,486447
64,청계,2024,1종,53394821
64,청계,2024,2종,1156713
64,청계,2024,3종,1432874
64,청계,2024,4종,722295
64,청계,2024,5종,888298
64,청계,2024,6종,2944392
65,판교,2024,1종,28110982
65,판교,2024,2종,500353
65,판교,2024,3종,1855306
65,판교,2024,4종,149857
65,판교,2024,5종,165400
65,판교,2024,6종,1164634
66,하남,2024,1종,11084448
66,하남,2024,2종,246719
66,하남,2024,3종,121485
66,하남,2024,4종,108002
66,하남,2024,5종,99459
66,하남,2024,6종,603905
67,시흥,2024,1종,50370786
67,시흥,2024,2종,1314811
67,시흥,2024,3종,1141699
67,시흥,2024,4종,1198078
67,시흥,2024,5종,1166325
67,시흥,2024,6종,2778586
68,김포,2024,1종,59840635
68,김포,2024,2종,1645942
68,김포,2024,3종,1123659
68,김포,2024,4종,1141908
68,김포,2024,5종,1620138
68,김포,2024,6종,3784227
69,대왕판교,2024,1종,2784107
69,대왕판교,2024,2종,23714
69,대왕판교,2024,3종,19373
69,대왕판교,2024,4종,253
69,대왕판교,2024,5종,307
69,대왕판교,2024,6종,105660
74,덕소삼패,2024,1종,5052755
74,덕소삼패,2024,2종,84040
