영업소코드,영업소명,연월,차종,교통량
11,인천,2011-01,1종,3596364
11,인천,2011-01,2종,138254
11,인천,2011-01,3종,68852
11,인천,2011-01,4종,59858
11,인천,2011-01,5종,122325
11,인천,2011-01,6종,272652
53,남인천,2011-01,1종,1771045
53,남인천,2011-01,2종,56820
53,남인천,2011-01,3종,59682
53,남인천,2011-01,4종,24290
53,남인천,2011-01,5종,62203
53,남인천,2011-01,6종,119360
56,일로,2011-01,1종,23640
56,일로,2011-01,2종,944
56,일로,2011-01,3종,722
56,일로,2011-01,4종,344
56,일로,2011-01,5종,635
56,일로,2011-01,6종,1118
61,성남,2011-01,1종,3382281
61,성남,2011-01,2종,169671
61,성남,2011-01,3종,136252
61,성남,2011-01,4종,52313
61,성남,2011-01,5종,59403
61,성남,2011-01,6종,190644
62,구리남양주,2011-01,1종,4402909
62,구리남양주,2011-01,2종,241825
62,구리남양주,2011-01,3종,158059
62,구리남양주,2011-01,4종,79272
62,구리남양주,2011-01,5종,73847
62,구리남양주,2011-01,6종,259717
63,토평,2011-01,1종,389533
63,토평,2011-01,2종,17855
63,토평,2011-01,3종,6322
63,토평,2011-01,4종,5288
63,토평,2011-01,5종,7323
63,토평,2011-01,6종,22260
64,청계,2011-01,1종,4024204
64,청계,2011-01,2종,173098
64,청계,2011-01,3종,136178
64,청계,2011-01,4종,40539
64,청계,2011-01,5종,79135
64,청계,2011-01,6종,249923
65,판교,2011-01,1종,2595419
65,판교,2011-01,2종,49044
65,판교,2011-01,3종,174857
65,판교,2011-01,4종,20250
65,판교,2011-01,5종,20569
65,판교,2011-01,6종,119541
66,하남,2011-01,1종,626983
66,하남,2011-01,2종,23527
66,하남,2011-01,3종,12773
66,하남,2011-01,4종,5513
66,하남,2011-01,5종,6004
66,하남,2011-01,6종,35452
67,시흥,2011-01,1종,3049536
67,시흥,2011-01,2종,136350
67,시흥,2011-01,3종,100686
67,시흥,2011-01,4종,53110
67,시흥,2011-01,5종,61640
67,시흥,2011-01,6종,201426
68,김포,2011-01,1종,3706318
68,김포,2011-01,2종,187492
68,김포,2011-01,3종,96392
68,김포,2011-01,4종,67427
68,김포,2011-01,5종,105912
68,김포,2011-01,6종,244725
69,대왕판교,2011-01,1종,164410
69,대왕판교,2011-01,2종,1015
69,대왕판교,2011-01,3종,147
69,대왕판교,2011-01,4종,44
69,대왕판교,2011-01,5종,7
69,대왕판교,2011-01,6종,8208
74,덕소삼패,2011-01,1종,225399
74,덕소삼패,2011-01,2종,6161
