영업소코드,영업소명,연월,차종,교통량
11,인천,2020-01,1종,3962477
11,인천,2020-01,2종,97705
11,인천,2020-01,3종,64782
11,인천,2020-01,4종,57916
11,인천,2020-01,5종,128599
11,인천,2020-01,6종,316376
12,서영암(개),2020-01,1종,62766
12,서영암(개),2020-01,2종,820
12,서영암(개),2020-01,3종,1165
12,서영암(개),2020-01,4종,1148
12,서영암(개),2020-01,5종,1942
12,서영암(개),2020-01,6종,2516
13,순천만,2020-01,1종,169649
13,순천만,2020-01,2종,3943
13,순천만,2020-01,3종,3669
13,순천만,2020-01,4종,2517
13,순천만,2020-01,5종,8324
13,순천만,2020-01,6종,6913
25,동부산,2020-01,1종,378299
25,동부산,2020-01,2종,2632
25,동부산,2020-01,3종,3028
25,동부산,2020-01,4종,2793
25,동부산,2020-01,5종,2436
25,동부산,2020-01,6종,11012
29,가락(개),2020-01,1종,830947
29,가락(개),2020-01,2종,17921
29,가락(개),2020-01,3종,18446
29,가락(개),2020-01,4종,18415
29,가락(개),2020-01,5종,108233
29,가락(개),2020-01,6종,61281
53,남인천,2020-01,1종,2163128
53,남인천,2020-01,2종,43300
53,남인천,2020-01,3종,58105
53,남인천,2020-01,4종,24837
53,남인천,2020-01,5종,48298
53,남인천,2020-01,6종,154960
56,일로,2020-01,1종,48972
56,일로,2020-01,2종,1031
56,일로,2020-01,3종,836
56,일로,2020-01,4종,813
56,일로,2020-01,5종,10725
56,일로,2020-01,6종,2243
61,성남,2020-01,1종,4790053
61,성남,2020-01,2종,137236
61,성남,2020-01,3종,137654
61,성남,2020-01,4종,115893
61,성남,2020-01,5종,92237
61,성남,2020-01,6종,297097
62,구리남양주,2020-01,1종,5114676
62,구리남양주,2020-01,2종,154059
62,구리남양주,2020-01,3종,149761
62,구리남양주,2020-01,4종,134125
62,구리남양주,2020-01,5종,103574
62,구리남양주,2020-01,6종,340640
63,토평,2020-01,1종,562854
63,토평,2020-01,2종,17915
63,토평,2020-01,3종,11955
63,토평,2020-01,4종,12875
63,토평,2020-01,5종,19030
63,토평,2020-01,6종,39473
64,청계,2020-01,1종,4291147
64,청계,2020-01,2종,100340
64,청계,2020-01,3종,117703
64,청계,2020-01,4종,53572
64,청계,2020-01,5종,69380
64,청계,2020-01,6종,279390
65,판교,2020-01,1종,2433057
65,판교,2020-01,2종,28009
65,판교,2020-01,3종,125912
65,판교,2020-01,4종,9639
