영업소코드,영업소명,연도,차종,교통량
11,인천,2003,1종,37769388
11,인천,2003,2종,1972186
11,인천,2003,3종,567846
11,인천,2003,4종,664560
11,인천,2003,5종,1343021
11,인천,2003,6종,2216203
22,,2003,1종,5806974
22,,2003,2종,304093
22,,2003,3종,254808
22,,2003,4종,118783
22,,2003,5종,320190
22,,2003,6종,274968
53,남인천,2003,1종,18766383
53,남인천,2003,2종,1016280
53,남인천,2003,3종,266221
53,남인천,2003,4종,247452
53,남인천,2003,5종,1310166
53,남인천,2003,6종,1025283
56,일로,2003,1종,210426
56,일로,2003,2종,11086
56,일로,2003,3종,941
56,일로,2003,4종,5205
56,일로,2003,5종,3784
56,일로,2003,6종,12563
61,성남,2003,1종,31953493
61,성남,2003,2종,2387764
61,성남,2003,3종,849677
61,성남,2003,4종,378633
61,성남,2003,5종,570216
61,성남,2003,6종,1388303
62,구리남양주,2003,1종,43673683
62,구리남양주,2003,2종,3215681
62,구리남양주,2003,3종,773961
62,구리남양주,2003,4종,668017
62,구리남양주,2003,5종,808822
62,구리남양주,2003,6종,1947526
63,토평,2003,1종,7258310
63,토평,2003,2종,275213
63,토평,2003,3종,93147
63,토평,2003,4종,107414
63,토평,2003,5종,123953
63,토평,2003,6종,340835
64,청계,2003,1종,45958654
64,청계,2003,2종,2748467
64,청계,2003,3종,898463
64,청계,2003,4종,379762
64,청계,2003,5종,865480
64,청계,2003,6종,2130820
65,판교,2003,1종,24223429
65,판교,2003,2종,748429
65,판교,2003,3종,1068543
65,판교,2003,4종,202810
65,판교,2003,5종,143552
65,판교,2003,6종,915948
66,하남,2003,1종,4904322
66,하남,2003,2종,366448
66,하남,2003,3종,158425
66,하남,2003,4종,124286
66,하남,2003,5종,84693
66,하남,2003,6종,200196
67,시흥,2003,1종,39643452
67,시흥,2003,2종,2692384
67,시흥,2003,3종,745472
67,시흥,2003,4종,458252
67,시흥,2003,5종,511925
67,시흥,2003,6종,1779457
68,김포,2003,1종,39956404
68,김포,2003,2종,2849145
68,김포,2003,3종,456544
68,김포,2003,4종,415736
68,김포,2003,5종,877624
68,김포,2003,6종,1835430
91,대동(개),2003,1종,1614786
91,대동(개),2003,2종,166884
91,대동(개),2003,3종,11331
91,대동(개),2003,4종,412393
91,대동(개),2003,5종,153686
91,대동(개),2003,6종,90772
101,서울,2003,1종,59386293
101,서울,2003,2종,3751555
101,서울,2003,3종,4474861
101,서울,2003,4종,677699
101,서울,2003,5종,583806
101,서울,2003,6종,2177165
102,동수원,2003,1종,20392577
102,동수원,2003,2종,931162
102,동수원,2003,3종,659036
102,동수원,2003,4종,245119
102,동수원,2003,5종,367974
102,동수원,2003,6종,958578
103,수원신갈,2003,1종,24600187
103,수원신갈,2003,2종,1705310
103,수원신갈,2003,3종,987551
103,수원신갈,2003,4종,340631
103,수원신갈,2003,5종,384258
103,수원신갈,2003,6종,1118776
104,지곡,2003,1종,444801
104,지곡,2003,2종,40079
104,지곡,2003,3종,12960
