영업소코드,영업소명,연도,차종,교통량
11,인천,2011,1종,44005994
11,인천,2011,2종,1635779
11,인천,2011,3종,929008
11,인천,2011,4종,757151
11,인천,2011,5종,1597858
11,인천,2011,6종,3543342
53,남인천,2011,1종,21033763
53,남인천,2011,2종,642315
53,남인천,2011,3종,690875
53,남인천,2011,4종,269195
53,남인천,2011,5종,743018
53,남인천,2011,6종,1529007
56,일로,2011,1종,327973
56,일로,2011,2종,11057
56,일로,2011,3종,6734
56,일로,2011,4종,3740
56,일로,2011,5종,11270
56,일로,2011,6종,15705
61,성남,2011,1종,44453476
61,성남,2011,2종,2028586
61,성남,2011,3종,1769448
61,성남,2011,4종,684397
61,성남,2011,5종,766289
61,성남,2011,6종,2640296
62,구리남양주,2011,1종,57443394
62,구리남양주,2011,2종,2968130
62,구리남양주,2011,3종,2059030
62,구리남양주,2011,4종,1056775
62,구리남양주,2011,5종,978050
62,구리남양주,2011,6종,3537256
63,토평,2011,1종,5644301
63,토평,2011,2종,228775
63,토평,2011,3종,91293
63,토평,2011,4종,73952
63,토평,2011,5종,147391
63,토평,2011,6종,356413
64,청계,2011,1종,52414091
64,청계,2011,2종,2163506
64,청계,2011,3종,1815540
64,청계,2011,4종,509216
64,청계,2011,5종,998446
64,청계,2011,6종,3433395
65,판교,2011,1종,33301222
65,판교,2011,2종,634099
65,판교,2011,3종,2126561
65,판교,2011,4종,230786
65,판교,2011,5종,209952
65,판교,2011,6종,1628067
66,하남,2011,1종,8802070
66,하남,2011,2종,318522
66,하남,2011,3종,182449
66,하남,2011,4종,75356
66,하남,2011,5종,81018
66,하남,2011,6종,526048
67,시흥,2011,1종,44479668
67,시흥,2011,2종,1862645
67,시흥,2011,3종,1469764
67,시흥,2011,4종,799058
67,시흥,2011,5종,981517
67,시흥,2011,6종,2967498
68,김포,2011,1종,53208406
68,김포,2011,2종,2451882
68,김포,2011,3종,1406131
68,김포,2011,4종,875503
68,김포,2011,5종,1488361
68,김포,2011,6종,3619963
69,대왕판교,2011,1종,2019474
69,대왕판교,2011,2종,13379
69,대왕판교,2011,3종,3138
69,대왕판교,2011,4종,521
69,대왕판교,2011,5종,106
69,대왕판교,2011,6종,106158
74,덕소삼패,2011,1종,3157703
74,덕소삼패,2011,2종,90325
74,덕소삼패,2011,3종,42277
74,덕소삼패,2011,4종,42433
74,덕소삼패,2011,5종,112414
74,덕소삼패,2011,6종,202117
91,대동(개),2011,1종,1895521
91,대동(개),2011,2종,147949
91,대동(개),2011,3종,56830
91,대동(개),2011,4종,196304
91,대동(개),2011,5종,121117
91,대동(개),2011,6종,113854
92,내서,2011,1종,3181880
92,내서,2011,2종,147803
92,내서,2011,3종,125958
92,내서,2011,4종,43814
92,내서,2011,5종,86645
92,내서,2011,6종,274861
101,서울,2011,1종,57830687
101,서울,2011,2종,2396583
101,서울,2011,3종,6492663
101,서울,2011,4종,972990
101,서울,2011,5종,579622
101,서울,2011,6종,2433481
102,동수원,2011,1종,20974405
102,동수원,2011,2종,517094
102,동수원,2011,3종,894081
102,동수원,2011,4종,289250
102,동수원,2011,5종,265211
102,동수원,2011,6종,1115679
103,수원신갈,2011,1종,27472720
103,수원신갈,2011,2종,1227938
103,수원신갈,2011,3종,1768256
103,수원신갈,2011,4종,415772
103,수원신갈,2011,5종,335662
103,수원신갈,2011,6종,1399987
104,지곡,2011,1종,424918
104,지곡,2011,2종,33521
104,지곡,2011,3종,23439
104,지곡,2011,4종,17838
104,지곡,2011,5종,35059
104,지곡,2011,6종,17758
105,기흥,2011,1종,4451949
105,기흥,2011,2종,403954
105,기흥,2011,3종,214980
105,기흥,2011,4종,130662
105,기흥,2011,5종,128547
105,기흥,2011,6종,213739
106,오산,2011,1종,12771660
106,오산,2011,2종,940756
106,오산,2011,3종,893875
106,오산,2011,4종,389624
106,오산,2011,5종,316168
106,오산,2011,6종,676818
107,안성,2011,1종,9893772
107,안성,2011,2종,555114
107,안성,2011,3종,701823
107,안성,2011,4종,250263
107,안성,2011,5종,203328
107,안성,2011,6종,534940
108,천안,2011,1종,16533646
108,천안,2011,2종,799047
108,천안,2011,3종,1233689
108,천안,2011,4종,593306
108,천안,2011,5종,533544
108,천안,2011,6종,725276
109,계룡,2011,1종,1785422
109,계룡,2011,2종,135618
109,계룡,2011,3종,125156
109,계룡,2011,4종,78554
109,계룡,2011,5종,61302
109,계룡,2011,6종,105108
110,독립기념관,2011,1종,3835951
110,독립기념관,2011,2종,320748
110,독립기념관,2011,3종,307886
110,독립기념관,2011,4종,345670
110,독립기념관,2011,5종,254555
110,독립기념관,2011,6종,147059
111,청주,2011,1종,5427113
111,청주,2011,2종,276338
111,청주,2011,3종,562213
111,청주,2011,4종,149978
111,청주,2011,5종,219707
111,청주,2011,6종,247970
112,남청주,2011,1종,5778804
112,남청주,2011,2종,596233
112,남청주,2011,3종,439166
112,남청주,2011,4종,528668
112,남청주,2011,5종,517215
112,남청주,2011,6종,234546
113,신탄진,2011,1종,8719634
113,신탄진,2011,2종,680526
113,신탄진,2011,3종,348873
113,신탄진,2011,4종,563383
113,신탄진,2011,5종,568833
113,신탄진,2011,6종,389957
114,남대전,2011,1종,3148883
114,남대전,2011,2종,158818
114,남대전,2011,3종,89271
114,남대전,2011,4종,56193
114,남대전,2011,5종,96268
114,남대전,2011,6종,143425
115,대전,2011,1종,15000536
115,대전,2011,2종,559839
115,대전,2011,3종,959918
115,대전,2011,4종,196213
115,대전,2011,5종,207827
115,대전,2011,6종,706263
116,옥천,2011,1종,4158052
116,옥천,2011,2종,323611
116,옥천,2011,3종,196355
116,옥천,2011,4종,394017
116,옥천,2011,5종,173129
