영업소코드,영업소명,연도,차종,교통량
11,인천,2013,1종,41713194
11,인천,2013,2종,1468538
11,인천,2013,3종,933087
11,인천,2013,4종,695679
11,인천,2013,5종,1304414
11,인천,2013,6종,3832480
12,서영암(개),2013,1종,307021
12,서영암(개),2013,2종,5918
12,서영암(개),2013,3종,6474
12,서영암(개),2013,4종,3194
12,서영암(개),2013,5종,4570
12,서영암(개),2013,6종,16834
13,순천만,2013,1종,1414333
13,순천만,2013,2종,55035
13,순천만,2013,3종,72148
13,순천만,2013,4종,53790
13,순천만,2013,5종,101009
13,순천만,2013,6종,64059
53,남인천,2013,1종,19654530
53,남인천,2013,2종,532135
53,남인천,2013,3종,657910
53,남인천,2013,4종,251675
53,남인천,2013,5종,636628
53,남인천,2013,6종,1657346
56,일로,2013,1종,458572
56,일로,2013,2종,17632
56,일로,2013,3종,10964
56,일로,2013,4종,9082
56,일로,2013,5종,16205
56,일로,2013,6종,23752
61,성남,2013,1종,44965899
61,성남,2013,2종,1881712
61,성남,2013,3종,1787488
61,성남,2013,4종,842806
61,성남,2013,5종,988188
61,성남,2013,6종,3121951
62,구리남양주,2013,1종,57907209
62,구리남양주,2013,2종,2500603
62,구리남양주,2013,3종,2283973
62,구리남양주,2013,4종,1230850
62,구리남양주,2013,5종,1107847
62,구리남양주,2013,6종,4211372
63,토평,2013,1종,5897015
63,토평,2013,2종,213548
63,토평,2013,3종,102738
63,토평,2013,4종,97347
63,토평,2013,5종,119721
63,토평,2013,6종,473859
64,청계,2013,1종,52790612
64,청계,2013,2종,1887056
64,청계,2013,3종,1867640
64,청계,2013,4종,558982
64,청계,2013,5종,991082
64,청계,2013,6종,3982271
65,판교,2013,1종,34042172
65,판교,2013,2종,601567
65,판교,2013,3종,2114047
65,판교,2013,4종,201274
65,판교,2013,5종,218011
65,판교,2013,6종,1973826
66,하남,2013,1종,9594769
66,하남,2013,2종,350993
66,하남,2013,3종,201559
66,하남,2013,4종,88410
66,하남,2013,5종,116541
66,하남,2013,6종,728198
67,시흥,2013,1종,44730203
67,시흥,2013,2종,1744841
67,시흥,2013,3종,1424563
67,시흥,2013,4종,775383
67,시흥,2013,5종,827213
67,시흥,2013,6종,3442170
68,김포,2013,1종,54410099
68,김포,2013,2종,2268244
68,김포,2013,3종,1667290
68,김포,2013,4종,880850
68,김포,2013,5종,1317078
68,김포,2013,6종,4399412
69,대왕판교,2013,1종,2193980
69,대왕판교,2013,2종,15935
69,대왕판교,2013,3종,2478
69,대왕판교,2013,4종,474
69,대왕판교,2013,5종,199
69,대왕판교,2013,6종,131386
74,덕소삼패,2013,1종,3420509
74,덕소삼패,2013,2종,108928
74,덕소삼패,2013,3종,48666
74,덕소삼패,2013,4종,77784
74,덕소삼패,2013,5종,123193
74,덕소삼패,2013,6종,257050
91,대동(개),2013,1종,1629067
91,대동(개),2013,2종,121504
91,대동(개),2013,3종,63782
91,대동(개),2013,4종,234862
91,대동(개),2013,5종,110537
91,대동(개),2013,6종,107793
92,내서,2013,1종,2784730
92,내서,2013,2종,107956
92,내서,2013,3종,133212
92,내서,2013,4종,43135
92,내서,2013,5종,91584
92,내서,2013,6종,256163
101,서울,2013,1종,61722195
101,서울,2013,2종,2351940
101,서울,2013,3종,6809377
101,서울,2013,4종,1080555
101,서울,2013,5종,654758
101,서울,2013,6종,2937191
102,동수원,2013,1종,22845575
102,동수원,2013,2종,457515
102,동수원,2013,3종,967347
102,동수원,2013,4종,210686
102,동수원,2013,5종,237527
102,동수원,2013,6종,1383716
103,수원신갈,2013,1종,28136764
103,수원신갈,2013,2종,1200928
103,수원신갈,2013,3종,1873113
103,수원신갈,2013,4종,438861
103,수원신갈,2013,5종,285870
103,수원신갈,2013,6종,1594863
104,지곡,2013,1종,480114
104,지곡,2013,2종,19797
104,지곡,2013,3종,25195
104,지곡,2013,4종,19455
104,지곡,2013,5종,28907
104,지곡,2013,6종,19509
105,기흥,2013,1종,4422481
105,기흥,2013,2종,326244
105,기흥,2013,3종,186024
105,기흥,2013,4종,118261
105,기흥,2013,5종,120871
105,기흥,2013,6종,228877
106,오산,2013,1종,12842280
106,오산,2013,2종,1058507
106,오산,2013,3종,1108070
106,오산,2013,4종,482342
106,오산,2013,5종,357515
106,오산,2013,6종,828520
107,안성,2013,1종,9353597
107,안성,2013,2종,405769
107,안성,2013,3종,634431
107,안성,2013,4종,193357
107,안성,2013,5종,153664
107,안성,2013,6종,588012
108,천안,2013,1종,16340167
108,천안,2013,2종,602945
108,천안,2013,3종,1232174
108,천안,2013,4종,472101
108,천안,2013,5종,404341
108,천안,2013,6종,811761
109,계룡,2013,1종,1606303
109,계룡,2013,2종,124416
109,계룡,2013,3종,138361
109,계룡,2013,4종,99605
109,계룡,2013,5종,51254
109,계룡,2013,6종,107485
110,독립기념관,2013,1종,3984683
110,독립기념관,2013,2종,273220
110,독립기념관,2013,3종,328164
110,독립기념관,2013,4종,343770
110,독립기념관,2013,5종,225467
110,독립기념관,2013,6종,168492
111,청주,2013,1종,5512958
111,청주,2013,2종,244544
111,청주,2013,3종,571594
111,청주,2013,4종,170087
111,청주,2013,5종,244572
111,청주,2013,6종,281338
112,남청주,2013,1종,5853298
112,남청주,2013,2종,523349
112,남청주,2013,3종,478203
112,남청주,2013,4종,536792
112,남청주,2013,5종,478295
112,남청주,2013,6종,266243
113,신탄진,2013,1종,8972761
113,신탄진,2013,2종,561624
113,신탄진,2013,3종,407248
113,신탄진,2013,4종,659623
113,신탄진,2013,5종,568357
113,신탄진,2013,6종,480827
114,남대전,2013,1종,3406344
114,남대전,2013,2종,161095
114,남대전,2013,3종,106506
114,남대전,2013,4종,64192
114,남대전,2013,5종,89099
114,남대전,2013,6종,177183
115,대전,2013,1종,15350405
115,대전,2013,2종,496738
115,대전,2013,3종,972845
115,대전,2013,4종,200167
115,대전,2013,5종,181778
115,대전,2013,6종,808406
116,옥천,2013,1종,4306446
116,옥천,2013,2종,275552
116,옥천,2013,3종,224214
116,옥천,2013,4종,419744
116,옥천,2013,5종,216869
116,옥천,2013,6종,246153
117,금강,2013,1종,493306
117,금강,2013,2종,22051
117,금강,2013,3종,12942
117,금강,2013,4종,39093
117,금강,2013,5종,8969
117,금강,2013,6종,25979
118,영동,2013,1종,1038455
118,영동,2013,2종,66736
118,영동,2013,3종,57189
118,영동,2013,4종,36119
118,영동,2013,5종,70286
118,영동,2013,6종,48282
119,판암,2013,1종,5414542
119,판암,2013,2종,191042
119,판암,2013,3종,108680
119,판암,2013,4종,79743
119,판암,2013,5종,80353
119,판암,2013,6종,318089
120,황간,2013,1종,945171
120,황간,2013,2종,35284
120,황간,2013,3종,52656
120,황간,2013,4종,51501
120,황간,2013,5종,57503
120,황간,2013,6종,37289
121,추풍령,2013,1종,498477
121,추풍령,2013,2종,19593
121,추풍령,2013,3종,23501
121,추풍령,2013,4종,14034
121,추풍령,2013,5종,17429
121,추풍령,2013,6종,23337
122,김천,2013,1종,2797056
122,김천,2013,2종,117417
122,김천,2013,3종,142500
122,김천,2013,4종,133523
122,김천,2013,5종,120095
122,김천,2013,6종,126415
123,구미,2013,1종,8971819
123,구미,2013,2종,261209
123,구미,2013,3종,420865
123,구미,2013,4종,229165
123,구미,2013,5종,167019
123,구미,2013,6종,455448
124,상주,2013,1종,1633820
124,상주,2013,2종,103587
124,상주,2013,3종,97612
124,상주,2013,4종,124974
124,상주,2013,5종,113396
124,상주,2013,6종,55457
125,남구미,2013,1종,6240852
125,남구미,2013,2종,279448
125,남구미,2013,3종,386096
125,남구미,2013,4종,258346
125,남구미,2013,5종,493540
125,남구미,2013,6종,354743
126,왜관,2013,1종,7234827
126,왜관,2013,2종,581458
126,왜관,2013,3종,370806
126,왜관,2013,4종,269456
126,왜관,2013,5종,404955
126,왜관,2013,6종,355769
127,서대구,2013,1종,22543082
127,서대구,2013,2종,1195098
127,서대구,2013,3종,1217684
127,서대구,2013,4종,609680
127,서대구,2013,5종,713840
127,서대구,2013,6종,1031888
128,금왕꽃동네,2013,1종,38896
128,금왕꽃동네,2013,2종,5788
128,금왕꽃동네,2013,3종,4913
128,금왕꽃동네,2013,4종,4037
128,금왕꽃동네,2013,5종,5225
128,금왕꽃동네,2013,6종,1518
129,북대구,2013,1종,20527978
129,북대구,2013,2종,774899
129,북대구,2013,3종,639313
129,북대구,2013,4종,283192
129,북대구,2013,5종,329505
129,북대구,2013,6종,901149
130,동김천,2013,1종,906575
130,동김천,2013,2종,50353
130,동김천,2013,3종,63630
130,동김천,2013,4종,72576
130,동김천,2013,5종,107514
130,동김천,2013,6종,35966
131,경산,2013,1종,9720424
131,경산,2013,2종,964912
131,경산,2013,3종,628130
131,경산,2013,4종,523448
131,경산,2013,5종,477834
131,경산,2013,6종,538053
132,영천,2013,1종,4621341
132,영천,2013,2종,333136
132,영천,2013,3종,299551
132,영천,2013,4종,272338
132,영천,2013,5종,538432
132,영천,2013,6종,180617
133,서경주,2013,1종,1947085
133,서경주,2013,2종,105832
133,서경주,2013,3종,128442
133,서경주,2013,4종,99939
133,서경주,2013,5종,311554
133,서경주,2013,6종,69121
134,선산,2013,1종,1115019
134,선산,2013,2종,68095
134,선산,2013,3종,63112
134,선산,2013,4종,92995
134,선산,2013,5종,71370
134,선산,2013,6종,43296
135,경주,2013,1종,10618244
