영업소코드,영업소명,연월,차종,교통량
11,인천,2018-01,1종,3688281
11,인천,2018-01,2종,106334
11,인천,2018-01,3종,73846
11,인천,2018-01,4종,59983
11,인천,2018-01,5종,142641
11,인천,2018-01,6종,319475
12,서영암(개),2018-01,1종,43931
12,서영암(개),2018-01,2종,820
12,서영암(개),2018-01,3종,924
12,서영암(개),2018-01,4종,972
12,서영암(개),2018-01,5종,1278
12,서영암(개),2018-01,6종,2303
13,순천만,2018-01,1종,121662
13,순천만,2018-01,2종,4016
13,순천만,2018-01,3종,3426
13,순천만,2018-01,4종,3146
13,순천만,2018-01,5종,7359
13,순천만,2018-01,6종,5771
25,동부산,2018-01,1종,277670
25,동부산,2018-01,2종,2158
25,동부산,2018-01,3종,2553
25,동부산,2018-01,4종,927
25,동부산,2018-01,5종,1724
25,동부산,2018-01,6종,10857
29,가락(개),2018-01,1종,801561
29,가락(개),2018-01,2종,21042
29,가락(개),2018-01,3종,21371
29,가락(개),2018-01,4종,20977
29,가락(개),2018-01,5종,113904
29,가락(개),2018-01,6종,61040
53,남인천,2018-01,1종,2030295
53,남인천,2018-01,2종,49163
53,남인천,2018-01,3종,64424
53,남인천,2018-01,4종,25858
53,남인천,2018-01,5종,55853
53,남인천,2018-01,6종,162156
56,일로,2018-01,1종,35006
56,일로,2018-01,2종,2054
56,일로,2018-01,3종,756
56,일로,2018-01,4종,1022
56,일로,2018-01,5종,6597
56,일로,2018-01,6종,1962
61,성남,2018-01,1종,4146056
61,성남,2018-01,2종,150757
61,성남,2018-01,3종,149239
61,성남,2018-01,4종,98785
61,성남,2018-01,5종,100758
61,성남,2018-01,6종,285168
62,구리남양주,2018-01,1종,4752658
62,구리남양주,2018-01,2종,176270
62,구리남양주,2018-01,3종,170878
62,구리남양주,2018-01,4종,148556
62,구리남양주,2018-01,5종,117353
62,구리남양주,2018-01,6종,352565
63,토평,2018-01,1종,471123
63,토평,2018-01,2종,18125
63,토평,2018-01,3종,11925
63,토평,2018-01,4종,12726
63,토평,2018-01,5종,14187
63,토평,2018-01,6종,37747
64,청계,2018-01,1종,4091645
64,청계,2018-01,2종,115821
64,청계,2018-01,3종,130348
64,청계,2018-01,4종,51363
64,청계,2018-01,5종,69368
64,청계,2018-01,6종,292217
65,판교,2018-01,1종,2696243
65,판교,2018-01,2종,32386
65,판교,2018-01,3종,157555
65,판교,2018-01,4종,11376
65,판교,2018-01,5종,13902
65,판교,2018-01,6종,146271
66,하남,2018-01,1종,844400
66,하남,2018-01,2종,24647
66,하남,2018-01,3종,13609
66,하남,2018-01,4종,8346
66,하남,2018-01,5종,13086
66,하남,2018-01,6종,63889
67,시흥,2018-01,1종,3808971
67,시흥,2018-01,2종,110892
67,시흥,2018-01,3종,117787
67,시흥,2018-01,4종,84903
67,시흥,2018-01,5종,83452
67,시흥,2018-01,6종,269660
68,김포,2018-01,1종,4562929
68,김포,2018-01,2종,146600
68,김포,2018-01,3종,132533
68,김포,2018-01,4종,84193
68,김포,2018-01,5종,129506
68,김포,2018-01,6종,357411
69,대왕판교,2018-01,1종,256334
69,대왕판교,2018-01,2종,2277
69,대왕판교,2018-01,3종,139
69,대왕판교,2018-01,4종,39
69,대왕판교,2018-01,5종,34
69,대왕판교,2018-01,6종,13276
74,덕소삼패,2018-01,1종,337053
74,덕소삼패,2018-01,2종,6912
74,덕소삼패,2018-01,3종,5576
74,덕소삼패,2018-01,4종,9351
74,덕소삼패,2018-01,5종,10992
74,덕소삼패,2018-01,6종,29140
91,대동(개),2018-01,1종,119793
91,대동(개),2018-01,2종,8123
91,대동(개),2018-01,3종,5543
91,대동(개),2018-01,4종,22604
91,대동(개),2018-01,5종,14998
91,대동(개),2018-01,6종,7288
92,내서,2018-01,1종,199770
92,내서,2018-01,2종,6947
92,내서,2018-01,3종,11002
92,내서,2018-01,4종,4085
92,내서,2018-01,5종,8995
92,내서,2018-01,6종,16731
101,서울,2018-01,1종,4997387
101,서울,2018-01,2종,170017
101,서울,2018-01,3종,553957
101,서울,2018-01,4종,113687
101,서울,2018-01,5종,66785
101,서울,2018-01,6종,246112
102,동수원,2018-01,1종,2302882
102,동수원,2018-01,2종,37775
102,동수원,2018-01,3종,83592
102,동수원,2018-01,4종,15301
102,동수원,2018-01,5종,25139
102,동수원,2018-01,6종,141546
103,수원신갈,2018-01,1종,2402497
103,수원신갈,2018-01,2종,96608
103,수원신갈,2018-01,3종,161174
103,수원신갈,2018-01,4종,53698
103,수원신갈,2018-01,5종,34900
103,수원신갈,2018-01,6종,136212
104,지곡,2018-01,1종,37326
104,지곡,2018-01,2종,1133
104,지곡,2018-01,3종,2115
104,지곡,2018-01,4종,2161
104,지곡,2018-01,5종,2851
104,지곡,2018-01,6종,1111
105,기흥,2018-01,1종,651685
105,기흥,2018-01,2종,23766
105,기흥,2018-01,3종,26422
105,기흥,2018-01,4종,11870
105,기흥,2018-01,5종,10506
105,기흥,2018-01,6종,41229
106,오산,2018-01,1종,1157481
106,오산,2018-01,2종,80547
106,오산,2018-01,3종,102114
106,오산,2018-01,4종,63712
106,오산,2018-01,5종,36516
106,오산,2018-01,6종,71983
107,안성,2018-01,1종,942757
107,안성,2018-01,2종,29577
107,안성,2018-01,3종,54344
107,안성,2018-01,4종,19181
107,안성,2018-01,5종,13380
107,안성,2018-01,6종,61884
108,천안,2018-01,1종,1447606
108,천안,2018-01,2종,36468
108,천안,2018-01,3종,96515
108,천안,2018-01,4종,34931
108,천안,2018-01,5종,32150
108,천안,2018-01,6종,72472
109,계룡,2018-01,1종,110092
109,계룡,2018-01,2종,9158
109,계룡,2018-01,3종,8995
109,계룡,2018-01,4종,11804
109,계룡,2018-01,5종,5467
109,계룡,2018-01,6종,7030
110,독립기념관,2018-01,1종,304872
110,독립기념관,2018-01,2종,15197
110,독립기념관,2018-01,3종,22308
110,독립기념관,2018-01,4종,21035
110,독립기념관,2018-01,5종,17109
110,독립기념관,2018-01,6종,13262
111,청주,2018-01,1종,468953
111,청주,2018-01,2종,15072
111,청주,2018-01,3종,50299
111,청주,2018-01,4종,19185
111,청주,2018-01,5종,20741
111,청주,2018-01,6종,21695
112,남청주,2018-01,1종,448605
112,남청주,2018-01,2종,36493
112,남청주,2018-01,3종,34579
112,남청주,2018-01,4종,44141
112,남청주,2018-01,5종,42948
112,남청주,2018-01,6종,18461
113,신탄진,2018-01,1종,673928
113,신탄진,2018-01,2종,32243
113,신탄진,2018-01,3종,33244
113,신탄진,2018-01,4종,58108
113,신탄진,2018-01,5종,61005
113,신탄진,2018-01,6종,35141
114,남대전,2018-01,1종,334615
114,남대전,2018-01,2종,12376
114,남대전,2018-01,3종,12572
114,남대전,2018-01,4종,13219
114,남대전,2018-01,5종,9903
114,남대전,2018-01,6종,16542
115,대전,2018-01,1종,1210643
115,대전,2018-01,2종,33337
115,대전,2018-01,3종,76246
115,대전,2018-01,4종,17628
115,대전,2018-01,5종,14147
115,대전,2018-01,6종,65690
116,옥천,2018-01,1종,361226
116,옥천,2018-01,2종,17002
116,옥천,2018-01,3종,19774
116,옥천,2018-01,4종,38889
116,옥천,2018-01,5종,28786
116,옥천,2018-01,6종,21386
117,금강,2018-01,1종,28453
117,금강,2018-01,2종,838
117,금강,2018-01,3종,1185
117,금강,2018-01,4종,6128
117,금강,2018-01,5종,1244
117,금강,2018-01,6종,1578
118,영동,2018-01,1종,71643
118,영동,2018-01,2종,2804
118,영동,2018-01,3종,4098
118,영동,2018-01,4종,3453
118,영동,2018-01,5종,6471
118,영동,2018-01,6종,3273
119,판암,2018-01,1종,467229
119,판암,2018-01,2종,12818
119,판암,2018-01,3종,11220
119,판암,2018-01,4종,6071
119,판암,2018-01,5종,13471
119,판암,2018-01,6종,26936
120,황간,2018-01,1종,64580
120,황간,2018-01,2종,1822
120,황간,2018-01,3종,3782
120,황간,2018-01,4종,3956
120,황간,2018-01,5종,6611
120,황간,2018-01,6종,2538
121,추풍령,2018-01,1종,39358
121,추풍령,2018-01,2종,1080
121,추풍령,2018-01,3종,2144
121,추풍령,2018-01,4종,1592
121,추풍령,2018-01,5종,1802
121,추풍령,2018-01,6종,2221
122,김천,2018-01,1종,187162
122,김천,2018-01,2종,5549
122,김천,2018-01,3종,10236
122,김천,2018-01,4종,10018
122,김천,2018-01,5종,8944
122,김천,2018-01,6종,8596
123,구미,2018-01,1종,784700
123,구미,2018-01,2종,17966
123,구미,2018-01,3종,35031
123,구미,2018-01,4종,20458
123,구미,2018-01,5종,15193
123,구미,2018-01,6종,37236
124,상주,2018-01,1종,88187
124,상주,2018-01,2종,3251
124,상주,2018-01,3종,4615
124,상주,2018-01,4종,3879
124,상주,2018-01,5종,7015
124,상주,2018-01,6종,3057
125,남구미,2018-01,1종,533704
125,남구미,2018-01,2종,19556
125,남구미,2018-01,3종,34954
125,남구미,2018-01,4종,24480
125,남구미,2018-01,5종,41610
125,남구미,2018-01,6종,29673
126,왜관,2018-01,1종,616669
126,왜관,2018-01,2종,41000
126,왜관,2018-01,3종,35151
126,왜관,2018-01,4종,26993
126,왜관,2018-01,5종,32635
126,왜관,2018-01,6종,28616
127,서대구,2018-01,1종,1846717
127,서대구,2018-01,2종,74227
127,서대구,2018-01,3종,100536
127,서대구,2018-01,4종,56068
127,서대구,2018-01,5종,53914
127,서대구,2018-01,6종,79351
128,금왕꽃동네,2018-01,1종,166863
128,금왕꽃동네,2018-01,2종,11442
128,금왕꽃동네,2018-01,3종,17409
128,금왕꽃동네,2018-01,4종,13791
128,금왕꽃동네,2018-01,5종,19415
128,금왕꽃동네,2018-01,6종,8703
129,북대구,2018-01,1종,1758256
129,북대구,2018-01,2종,51645
129,북대구,2018-01,3종,53910
129,북대구,2018-01,4종,26364
129,북대구,2018-01,5종,28709
129,북대구,2018-01,6종,75701
130,동김천,2018-01,1종,221440
130,동김천,2018-01,2종,6837
130,동김천,2018-01,3종,13798
130,동김천,2018-01,4종,11100
130,동김천,2018-01,5종,17737
130,동김천,2018-01,6종,10024
131,경산,2018-01,1종,791100
131,경산,2018-01,2종,61832
131,경산,2018-01,3종,58111
131,경산,2018-01,4종,48048
131,경산,2018-01,5종,40019
131,경산,2018-01,6종,42320
132,영천,2018-01,1종,394986
132,영천,2018-01,2종,18415
132,영천,2018-01,3종,24597
132,영천,2018-01,4종,20093
132,영천,2018-01,5종,31867
132,영천,2018-01,6종,16602
133,서경주,2018-01,1종,124737
133,서경주,2018-01,2종,5693
133,서경주,2018-01,3종,11700
133,서경주,2018-01,4종,9093
133,서경주,2018-01,5종,20950
133,서경주,2018-01,6종,4002
134,선산,2018-01,1종,75155
134,선산,2018-01,2종,3087
134,선산,2018-01,3종,4129
134,선산,2018-01,4종,3790
134,선산,2018-01,5종,4158
134,선산,2018-01,6종,3072
135,경주,2018-01,1종,683300
135,경주,2018-01,2종,21905
135,경주,2018-01,3종,68175
135,경주,2018-01,4종,41398
135,경주,2018-01,5종,56919
135,경주,2018-01,6종,24823
136,음성,2018-01,1종,154669
136,음성,2018-01,2종,8583
136,음성,2018-01,3종,11585
136,음성,2018-01,4종,10634
136,음성,2018-01,5종,13195
136,음성,2018-01,6종,6629
137,통도사,2018-01,1종,250307
137,통도사,2018-01,2종,13674
137,통도사,2018-01,3종,18034
137,통도사,2018-01,4종,13805
137,통도사,2018-01,5종,22842
137,통도사,2018-01,6종,12772
138,양산,2018-01,1종,732022
138,양산,2018-01,2종,67775
138,양산,2018-01,3종,55032
138,양산,2018-01,4종,58574
138,양산,2018-01,5종,67468
138,양산,2018-01,6종,39027
139,서울산,2018-01,1종,466101
139,서울산,2018-01,2종,19039
139,서울산,2018-01,3종,27147
139,서울산,2018-01,4종,13762
139,서울산,2018-01,5종,19942
139,서울산,2018-01,6종,24051
140,부산,2018-01,1종,1701392
140,부산,2018-01,2종,52614
140,부산,2018-01,3종,48680
140,부산,2018-01,4종,34906
140,부산,2018-01,5종,51932
140,부산,2018-01,6종,94901
142,군북,2018-01,1종,362854
142,군북,2018-01,2종,12842
142,군북,2018-01,3종,17528
142,군북,2018-01,4종,10715
142,군북,2018-01,5종,24139
142,군북,2018-01,6종,23079
143,장지,2018-01,1종,104595
143,장지,2018-01,2종,4032
143,장지,2018-01,3종,5676
143,장지,2018-01,4종,4590
143,장지,2018-01,5종,16162
143,장지,2018-01,6종,7070
144,함안,2018-01,1종,228859
144,함안,2018-01,2종,8725
144,함안,2018-01,3종,10074
144,함안,2018-01,4종,7063
144,함안,2018-01,5종,20249
144,함안,2018-01,6종,15306
145,산인,2018-01,1종,757864
145,산인,2018-01,2종,17115
145,산인,2018-01,3종,35058
145,산인,2018-01,4종,12994
145,산인,2018-01,5종,22922
145,산인,2018-01,6종,41240
146,동창원,2018-01,1종,613167
146,동창원,2018-01,2종,24721
146,동창원,2018-01,3종,24405
146,동창원,2018-01,4종,22101
146,동창원,2018-01,5종,34266
146,동창원,2018-01,6종,39681
147,진례,2018-01,1종,519750
147,진례,2018-01,2종,35033
147,진례,2018-01,3종,28992
147,진례,2018-01,4종,26801
147,진례,2018-01,5종,32051
147,진례,2018-01,6종,33283
148,서김해,2018-01,1종,876604
148,서김해,2018-01,2종,30228
148,서김해,2018-01,3종,29924
148,서김해,2018-01,4종,23585
148,서김해,2018-01,5종,25974
148,서김해,2018-01,6종,55672
149,동김해,2018-01,1종,1215619
149,동김해,2018-01,2종,41242
149,동김해,2018-01,3종,33283
149,동김해,2018-01,4종,17509
149,동김해,2018-01,5종,15941
149,동김해,2018-01,6종,86354
150,북부산,2018-01,1종,1747757
150,북부산,2018-01,2종,33587
150,북부산,2018-01,3종,35500
150,북부산,2018-01,4종,16782
150,북부산,2018-01,5종,34650
150,북부산,2018-01,6종,111186
151,북대전,2018-01,1종,668592
151,북대전,2018-01,2종,13907
151,북대전,2018-01,3종,30901
151,북대전,2018-01,4종,17411
151,북대전,2018-01,5종,17050
151,북대전,2018-01,6종,37643
152,유성,2018-01,1종,1011658
152,유성,2018-01,2종,21012
152,유성,2018-01,3종,36757
152,유성,2018-01,4종,15126
152,유성,2018-01,5종,13306
152,유성,2018-01,6종,46718
153,서대전,2018-01,1종,792994
153,서대전,2018-01,2종,19840
153,서대전,2018-01,3종,21687
153,서대전,2018-01,4종,16863
153,서대전,2018-01,5종,13800
153,서대전,2018-01,6종,45110
154,안영,2018-01,1종,409376
154,안영,2018-01,2종,14124
154,안영,2018-01,3종,12740
154,안영,2018-01,4종,5932
154,안영,2018-01,5종,8162
154,안영,2018-01,6종,22028
155,논산,2018-01,1종,213027
155,논산,2018-01,2종,11785
155,논산,2018-01,3종,20717
155,논산,2018-01,4종,18184
155,논산,2018-01,5종,14725
155,논산,2018-01,6종,8177
156,익산,2018-01,1종,256016
156,익산,2018-01,2종,16035
156,익산,2018-01,3종,28630
156,익산,2018-01,4종,21161
156,익산,2018-01,5종,30307
156,익산,2018-01,6종,7365
157,삼례,2018-01,1종,100603
157,삼례,2018-01,2종,4998
157,삼례,2018-01,3종,8382
157,삼례,2018-01,4종,6875
157,삼례,2018-01,5종,10841
157,삼례,2018-01,6종,3080
158,전주,2018-01,1종,384873
158,전주,2018-01,2종,13192
158,전주,2018-01,3종,46137
158,전주,2018-01,4종,18435
158,전주,2018-01,5종,28836
158,전주,2018-01,6종,11331
159,서전주,2018-01,1종,291472
159,서전주,2018-01,2종,11476
159,서전주,2018-01,3종,14145
159,서전주,2018-01,4종,9679
159,서전주,2018-01,5종,8514
159,서전주,2018-01,6종,8815
160,김제,2018-01,1종,109807
160,김제,2018-01,2종,6160
160,김제,2018-01,3종,9755
160,김제,2018-01,4종,6440
160,김제,2018-01,5종,5668
160,김제,2018-01,6종,3517
161,금산사,2018-01,1종,29035
161,금산사,2018-01,2종,1377
161,금산사,2018-01,3종,1596
161,금산사,2018-01,4종,863
161,금산사,2018-01,5종,2090
161,금산사,2018-01,6종,962
162,태인,2018-01,1종,72598
162,태인,2018-01,2종,4342
162,태인,2018-01,3종,8834
162,태인,2018-01,4종,6738
162,태인,2018-01,5종,5682
162,태인,2018-01,6종,2173
163,정읍,2018-01,1종,208582
163,정읍,2018-01,2종,9209
163,정읍,2018-01,3종,16689
163,정읍,2018-01,4종,11834
163,정읍,2018-01,5종,11203
163,정읍,2018-01,6종,5820
164,무주,2018-01,1종,185779
164,무주,2018-01,2종,2864
164,무주,2018-01,3종,6550
164,무주,2018-01,4종,2668
164,무주,2018-01,5종,2256
164,무주,2018-01,6종,6149
165,백양사,2018-01,1종,43118
165,백양사,2018-01,2종,944
165,백양사,2018-01,3종,2106
165,백양사,2018-01,4종,1636
165,백양사,2018-01,5종,732
165,백양사,2018-01,6종,1262
166,장성,2018-01,1종,148357
166,장성,2018-01,2종,9424
166,장성,2018-01,3종,14648
166,장성,2018-01,4종,10955
166,장성,2018-01,5종,14069
166,장성,2018-01,6종,5598
167,광주,2018-01,1종,931825
167,광주,2018-01,2종,31186
167,광주,2018-01,3종,79949
167,광주,2018-01,4종,52752
167,광주,2018-01,5종,33887
167,광주,2018-01,6종,27698
168,덕유산,2018-01,1종,112390
168,덕유산,2018-01,2종,1261
168,덕유산,2018-01,3종,3395
168,덕유산,2018-01,4종,781
168,덕유산,2018-01,5종,498
168,덕유산,2018-01,6종,2383
169,장수,2018-01,1종,100616
169,장수,2018-01,2종,2492
169,장수,2018-01,3종,4027
169,장수,2018-01,4종,2884
169,장수,2018-01,5종,2233
169,장수,2018-01,6종,3059
170,서상,2018-01,1종,42425
170,서상,2018-01,2종,1338
170,서상,2018-01,3종,4342
170,서상,2018-01,4종,3476
170,서상,2018-01,5종,5121
170,서상,2018-01,6종,1612
171,마성,2018-01,1종,221165
171,마성,2018-01,2종,5553
171,마성,2018-01,3종,15673
171,마성,2018-01,4종,2812
171,마성,2018-01,5종,1554
171,마성,2018-01,6종,12838
172,용인,2018-01,1종,896038
172,용인,2018-01,2종,60513
172,용인,2018-01,3종,44788
172,용인,2018-01,4종,28038
172,용인,2018-01,5종,21472
172,용인,2018-01,6종,62501
173,양지,2018-01,1종,813669
173,양지,2018-01,2종,87395
173,양지,2018-01,3종,71786
173,양지,2018-01,4종,71592
173,양지,2018-01,5종,52738
173,양지,2018-01,6종,49646
174,춘천,2018-01,1종,780603
174,춘천,2018-01,2종,17030
174,춘천,2018-01,3종,26407
174,춘천,2018-01,4종,10689
174,춘천,2018-01,5종,7325
174,춘천,2018-01,6종,47419
175,덕평,2018-01,1종,397750
175,덕평,2018-01,2종,47636
175,덕평,2018-01,3종,39837
175,덕평,2018-01,4종,43989
175,덕평,2018-01,5종,19428
175,덕평,2018-01,6종,24759
176,이천,2018-01,1종,522583
176,이천,2018-01,2종,29085
176,이천,2018-01,3종,48731
176,이천,2018-01,4종,44731
176,이천,2018-01,5종,36824
176,이천,2018-01,6종,27948
177,여주,2018-01,1종,211610
177,여주,2018-01,2종,10410
177,여주,2018-01,3종,33191
177,여주,2018-01,4종,26720
177,여주,2018-01,5종,17767
177,여주,2018-01,6종,10526
178,문막,2018-01,1종,225713
178,문막,2018-01,2종,17555
178,문막,2018-01,3종,32241
178,문막,2018-01,4종,12740
178,문막,2018-01,5종,13455
178,문막,2018-01,6종,11246
179,홍천,2018-01,1종,336843
179,홍천,2018-01,2종,9402
179,홍천,2018-01,3종,16986
179,홍천,2018-01,4종,9021
179,홍천,2018-01,5종,5233
179,홍천,2018-01,6종,23318
180,원주,2018-01,1종,292133
180,원주,2018-01,2종,15587
180,원주,2018-01,3종,21653
180,원주,2018-01,4종,13301
180,원주,2018-01,5종,11323
180,원주,2018-01,6종,14678
181,새말,2018-01,1종,169673
181,새말,2018-01,2종,7030
181,새말,2018-01,3종,11144
181,새말,2018-01,4종,5519
181,새말,2018-01,5종,3407
181,새말,2018-01,6종,6667
182,둔내,2018-01,1종,160303
182,둔내,2018-01,2종,2944
182,둔내,2018-01,3종,9094
182,둔내,2018-01,4종,1833
182,둔내,2018-01,5종,1059
182,둔내,2018-01,6종,5985
183,면온,2018-01,1종,119921
183,면온,2018-01,2종,1486
183,면온,2018-01,3종,2809
183,면온,2018-01,4종,1058
183,면온,2018-01,5종,1537
183,면온,2018-01,6종,2208
184,대관령,2018-01,1종,381863
184,대관령,2018-01,2종,8661
184,대관령,2018-01,3종,40923
184,대관령,2018-01,4종,3369
184,대관령,2018-01,5종,4111
184,대관령,2018-01,6종,13617
185,평창,2018-01,1종,123188
185,평창,2018-01,2종,1873
185,평창,2018-01,3종,8508
185,평창,2018-01,4종,1422
185,평창,2018-01,5종,3139
185,평창,2018-01,6종,3238
186,속사,2018-01,1종,42341
186,속사,2018-01,2종,665
186,속사,2018-01,3종,2012
186,속사,2018-01,4종,453
186,속사,2018-01,5종,523
186,속사,2018-01,6종,901
187,진부,2018-01,1종,179107
187,진부,2018-01,2종,2798
187,진부,2018-01,3종,8087
187,진부,2018-01,4종,1900
187,진부,2018-01,5종,1681
187,진부,2018-01,6종,4187
