영업소코드,영업소명,연월,차종,교통량
11,인천,2006-01,1종,3183485
11,인천,2006-01,2종,151099
11,인천,2006-01,3종,40764
11,인천,2006-01,4종,44801
11,인천,2006-01,5종,100235
11,인천,2006-01,6종,188527
53,남인천,2006-01,1종,1684517
53,남인천,2006-01,2종,74254
53,남인천,2006-01,3종,27158
53,남인천,2006-01,4종,20437
53,남인천,2006-01,5종,64650
53,남인천,2006-01,6종,85385
56,일로,2006-01,1종,23584
56,일로,2006-01,2종,1222
56,일로,2006-01,3종,142
56,일로,2006-01,4종,189
56,일로,2006-01,5종,332
56,일로,2006-01,6종,1035
61,성남,2006-01,1종,3042565
61,성남,2006-01,2종,190901
61,성남,2006-01,3종,74760
61,성남,2006-01,4종,39264
61,성남,2006-01,5종,48830
61,성남,2006-01,6종,127673
62,구리남양주,2006-01,1종,3807293
62,구리남양주,2006-01,2종,238708
62,구리남양주,2006-01,3종,76206
62,구리남양주,2006-01,4종,60598
62,구리남양주,2006-01,5종,62328
62,구리남양주,2006-01,6종,162327
63,토평,2006-01,1종,426722
63,토평,2006-01,2종,20104
63,토평,2006-01,3종,1964
63,토평,2006-01,4종,3936
63,토평,2006-01,5종,10536
63,토평,2006-01,6종,18847
64,청계,2006-01,1종,4098419
64,청계,2006-01,2종,205026
64,청계,2006-01,3종,79509
64,청계,2006-01,4종,28975
64,청계,2006-01,5종,56799
64,청계,2006-01,6종,183883
65,판교,2006-01,1종,2504184
65,판교,2006-01,2종,50194
65,판교,2006-01,3종,103498
65,판교,2006-01,4종,19495
65,판교,2006-01,5종,7513
65,판교,2006-01,6종,84634
66,하남,2006-01,1종,556268
66,하남,2006-01,2종,29069
66,하남,2006-01,3종,11077
66,하남,2006-01,4종,6767
66,하남,2006-01,5종,28046
66,하남,2006-01,6종,21192
67,시흥,2006-01,1종,3447582
67,시흥,2006-01,2종,192700
67,시흥,2006-01,3종,77962
67,시흥,2006-01,4종,47168
67,시흥,2006-01,5종,48611
67,시흥,2006-01,6종,150896
68,김포,2006-01,1종,3442003
68,김포,2006-01,2종,207586
68,김포,2006-01,3종,40874
68,김포,2006-01,4종,37992
68,김포,2006-01,5종,75520
68,김포,2006-01,6종,155641
91,대동(개),2006-01,1종,163696
91,대동(개),2006-01,2종,19282
