영업소코드,영업소명,연도,차종,교통량
11,인천,2006,1종,39707484
11,인천,2006,2종,2025800
11,인천,2006,3종,579326
11,인천,2006,4종,586698
11,인천,2006,5종,1343470
11,인천,2006,6종,2350861
53,남인천,2006,1종,21158104
53,남인천,2006,2종,1012308
53,남인천,2006,3종,387362
53,남인천,2006,4종,269859
53,남인천,2006,5종,923842
53,남인천,2006,6종,1068567
56,일로,2006,1종,285016
56,일로,2006,2종,16137
56,일로,2006,3종,2560
56,일로,2006,4종,1915
56,일로,2006,5종,4574
56,일로,2006,6종,13318
61,성남,2006,1종,39824609
61,성남,2006,2종,2622563
61,성남,2006,3종,1161652
61,성남,2006,4종,578093
61,성남,2006,5종,734480
61,성남,2006,6종,1616974
62,구리남양주,2006,1종,50130855
62,구리남양주,2006,2종,3329877
62,구리남양주,2006,3종,1175738
62,구리남양주,2006,4종,892928
62,구리남양주,2006,5종,927696
62,구리남양주,2006,6종,2097893
63,토평,2006,1종,5483040
63,토평,2006,2종,281686
63,토평,2006,3종,35983
63,토평,2006,4종,65450
63,토평,2006,5종,131641
63,토평,2006,6종,241900
64,청계,2006,1종,52164798
64,청계,2006,2종,2883058
64,청계,2006,3종,1185391
64,청계,2006,4종,416685
64,청계,2006,5종,896907
64,청계,2006,6종,2312982
65,판교,2006,1종,32636693
65,판교,2006,2종,710964
65,판교,2006,3종,1323754
65,판교,2006,4종,251447
65,판교,2006,5종,186985
65,판교,2006,6종,1089568
66,하남,2006,1종,7642755
66,하남,2006,2종,421086
66,하남,2006,3종,173333
66,하남,2006,4종,100299
66,하남,2006,5종,200162
66,하남,2006,6종,286685
67,시흥,2006,1종,43019272
67,시흥,2006,2종,2635182
67,시흥,2006,3종,1162729
67,시흥,2006,4종,650429
67,시흥,2006,5종,754637
67,시흥,2006,6종,1883634
68,김포,2006,1종,44088536
68,김포,2006,2종,2885517
68,김포,2006,3종,672512
68,김포,2006,4종,542127
68,김포,2006,5종,1113663
68,김포,2006,6종,1967450
91,대동(개),2006,1종,1597383
91,대동(개),2006,2종,182615
91,대동(개),2006,3종,22776
91,대동(개),2006,4종,219562
91,대동(개),2006,5종,159916
91,대동(개),2006,6종,94857
92,내서,2006,1종,2530871
92,내서,2006,2종,139685
92,내서,2006,3종,73541
92,내서,2006,4종,31924
92,내서,2006,5종,74430
92,내서,2006,6종,238198
101,서울,2006,1종,62619994
101,서울,2006,2종,3404768
101,서울,2006,3종,4813355
101,서울,2006,4종,720356
101,서울,2006,5종,549129
101,서울,2006,6종,2085466
102,동수원,2006,1종,23791962
102,동수원,2006,2종,773915
102,동수원,2006,3종,804786
102,동수원,2006,4종,168335
102,동수원,2006,5종,208592
102,동수원,2006,6종,1007780
103,수원신갈,2006,1종,26771892
103,수원신갈,2006,2종,1549678
103,수원신갈,2006,3종,1171894
103,수원신갈,2006,4종,358547
103,수원신갈,2006,5종,302993
103,수원신갈,2006,6종,1150867
104,지곡,2006,1종,402348
104,지곡,2006,2종,33278
104,지곡,2006,3종,15888
104,지곡,2006,4종,9334
104,지곡,2006,5종,15031
104,지곡,2006,6종,13360
105,기흥,2006,1종,11601518
105,기흥,2006,2종,998902
105,기흥,2006,3종,384694
105,기흥,2006,4종,231207
105,기흥,2006,5종,304246
105,기흥,2006,6종,436584
106,오산,2006,1종,13586255
106,오산,2006,2종,1380814
106,오산,2006,3종,642134
106,오산,2006,4종,325503
106,오산,2006,5종,406330
106,오산,2006,6종,539516
107,안성,2006,1종,11298363
107,안성,2006,2종,1060997
107,안성,2006,3종,622719
