영업소코드,영업소명,연월,차종,교통량
11,인천,2009-01,1종,3235683
11,인천,2009-01,2종,120567
11,인천,2009-01,3종,54946
11,인천,2009-01,4종,46557
11,인천,2009-01,5종,104547
11,인천,2009-01,6종,213875
53,남인천,2009-01,1종,1721150
53,남인천,2009-01,2종,49316
53,남인천,2009-01,3종,46008
53,남인천,2009-01,4종,20068
53,남인천,2009-01,5종,68564
53,남인천,2009-01,6종,102224
56,일로,2009-01,1종,26851
56,일로,2009-01,2종,883
56,일로,2009-01,3종,466
56,일로,2009-01,4종,304
56,일로,2009-01,5종,311
56,일로,2009-01,6종,1229
61,성남,2009-01,1종,3196126
61,성남,2009-01,2종,156494
61,성남,2009-01,3종,108819
61,성남,2009-01,4종,41726
61,성남,2009-01,5종,49924
61,성남,2009-01,6종,156155
62,구리남양주,2009-01,1종,4427203
62,구리남양주,2009-01,2종,220351
62,구리남양주,2009-01,3종,124739
62,구리남양주,2009-01,4종,62983
62,구리남양주,2009-01,5종,70052
62,구리남양주,2009-01,6종,224548
63,토평,2009-01,1종,403687
63,토평,2009-01,2종,18376
63,토평,2009-01,3종,4533
63,토평,2009-01,4종,5335
63,토평,2009-01,5종,6748
63,토평,2009-01,6종,21150
64,청계,2009-01,1종,3998171
64,청계,2009-01,2종,159922
64,청계,2009-01,3종,105415
64,청계,2009-01,4종,32465
64,청계,2009-01,5종,67339
64,청계,2009-01,6종,215496
65,판교,2009-01,1종,2087513
65,판교,2009-01,2종,40736
65,판교,2009-01,3종,132169
65,판교,2009-01,4종,21782
65,판교,2009-01,5종,23498
65,판교,2009-01,6종,85196
66,하남,2009-01,1종,740369
66,하남,2009-01,2종,26693
66,하남,2009-01,3종,14885
66,하남,2009-01,4종,7233
66,하남,2009-01,5종,9719
66,하남,2009-01,6종,33337
67,시흥,2009-01,1종,3534220
67,시흥,2009-01,2종,158473
67,시흥,2009-01,3종,108431
67,시흥,2009-01,4종,51365
67,시흥,2009-01,5종,57385
67,시흥,2009-01,6종,188751
68,김포,2009-01,1종,3888981
68,김포,2009-01,2종,170205
68,김포,2009-01,3종,80159
68,김포,2009-01,4종,49158
