영업소코드,영업소명,연도,차종,교통량
101,서울,2025,1종,56581356
253,서서울,2025,1종,56683009
62,구리남양주,2025,1종,57078209
68,김포,2025,1종,54183915
61,성남,2025,1종,53500281
64,청계,2025,1종,48492810
11,인천,2025,1종,46736173
67,시흥,2025,1종,45543565
190,동서울,2025,1종,35686000
252,대동,2025,1종,28743754
254,군자,2025,1종,27857737
677,북평택,2025,1종,26430443
651,남양주,2025,1종,27279915
103,수원신갈,2025,1종,25599982
65,판교,2025,1종,25823202
53,남인천,2025,1종,24638069
102,동수원,2025,1종,23907867
255,서안산,2025,1종,21245773
127,서대구,2025,1종,20798549
140,부산,2025,1종,20416909
108,천안,2025,1종,19856132
519,남대구,2025,1종,20227822
602,풍세상,2025,1종,18665098
129,북대구,2025,1종,19661673
150,북부산,2025,1종,19448244
685,서시흥,2025,1종,15897625
612,풍세하,2025,1종,17262794
245,장유,2025,1종,17778406
622,대구,2025,1종,16818770
244,서부산,2025,1종,16979672
115,대전,2025,1종,17121777
681,장안본선,2025,1종,12931732
106,오산,2025,1종,14245073
629,김해부산,2025,1종,14636102
250,남양산,2025,1종,15357130
671,봉담,2025,1종,15336791
652,화도,2025,1종,15408751
528,기흥동탄,2025,1종,14650874
261,동광주,2025,1종,15222016
675,서오산,2025,1종,14792115
648,해운대,2025,1종,14292159
173,양지,2025,1종,12245355
673,북오산,2025,1종,13684130
553,동광산,2025,1종,13773613
107,안성,2025,1종,13319514
152,유성,2025,1종,13398258
608,남논산하,2025,1종,12371694
618,남논산상,2025,1종,12198856
657,동산,2025,1종,13355826
212,북수원,2025,1종,12963978
799,하남감북2,2025,1종,12380988
289,마산,2025,1종,12370367
643,청량,2025,1종,10335987
520,평택,2025,1종,10819963
131,경산,2025,1종,10682638
641,울산,2025,1종,11269038
29,가락(개),2025,1종,11053586
149,동김해,2025,1종,11533276
105,기흥,2025,1종,12058258
153,서대전,2025,1종,11482652
167,광주,2025,1종,11316124
145,산인,2025,1종,11078191
623,수성,2025,1종,11170359
135,경주,2025,1종,10230272
509,목포,2025,1종,10323403
2,하남감북4,2025,1종,9714376
138,양산,2025,1종,8866299
174,춘천,2025,1종,10473590
527,포항,2025,1종,10030626
172,용인,2025,1종,9912329
776,연경,2025,1종,10322463
621,동대구,2025,1종,9974805
66,하남,2025,1종,10171738
298,서산,2025,1종,9139577
148,서김해,2025,1종,9667822
113,신탄진,2025,1종,8858970
683,송산마도,2025,1종,8565752
256,안산,2025,1종,9818784
151,북대전,2025,1종,9501181
543,남안성,2025,1종,7717093
251,물금,2025,1종,8145831
192,곤지암,2025,1종,8116883
291,사천,2025,1종,8866997
542,서안성,2025,1종,7597243
126,왜관,2025,1종,8073919
218,남원주,2025,1종,8374690
123,구미,2025,1종,8691151
285,서평택,2025,1종,6295522
779,율암,2025,1종,8823290
215,군포,2025,1종,8561107
282,비봉,2025,1종,8014513
229,북천안,2025,1종,7258938
292,진주,2025,1종,8068440
684,남안산,2025,1종,6818791
760,기장서JC,2025,1종,7514592
233,현풍,2025,1종,7036918
176,이천,2025,1종,6697950
230,팔공산,2025,1종,8118138
231,화원옥포,2025,1종,7791091
287,송악,2025,1종,6140825
613,남풍세,2025,1종,7356391
189,강릉,2025,1종,7657474
741,평택고덕,2025,1종,7111456
987,남순천,2025,1종,7316459
788,광남,2025,1종,7313624
191,경기광주,2025,1종,7190988
752,기장철마,2025,1종,7278381
125,남구미,2025,1종,6817425
