영업소코드,영업소명,연도,차종,교통량
11,인천,2007,1종,41002601
11,인천,2007,2종,1985035
11,인천,2007,3종,703437
11,인천,2007,4종,616752
11,인천,2007,5종,1547969
11,인천,2007,6종,2300460
53,남인천,2007,1종,22526295
53,남인천,2007,2종,996698
53,남인천,2007,3종,479592
53,남인천,2007,4종,280414
53,남인천,2007,5종,1122719
53,남인천,2007,6종,1088371
56,일로,2007,1종,291365
56,일로,2007,2종,14866
56,일로,2007,3종,3541
56,일로,2007,4종,2890
56,일로,2007,5종,6126
56,일로,2007,6종,15223
61,성남,2007,1종,42762505
61,성남,2007,2종,2572961
61,성남,2007,3종,1366513
61,성남,2007,4종,617839
61,성남,2007,5종,816677
61,성남,2007,6종,1632373
62,구리남양주,2007,1종,54411011
62,구리남양주,2007,2종,3296998
62,구리남양주,2007,3종,1409660
62,구리남양주,2007,4종,955702
62,구리남양주,2007,5종,1037284
62,구리남양주,2007,6종,2189145
63,토평,2007,1종,5660512
63,토평,2007,2종,294498
63,토평,2007,3종,50357
63,토평,2007,4종,80708
63,토평,2007,5종,142832
63,토평,2007,6종,237596
64,청계,2007,1종,54356228
64,청계,2007,2종,2810369
64,청계,2007,3종,1385503
64,청계,2007,4종,470281
64,청계,2007,5종,1145497
64,청계,2007,6종,2291976
65,판교,2007,1종,33672252
65,판교,2007,2종,719368
65,판교,2007,3종,1278267
65,판교,2007,4종,362244
65,판교,2007,5종,450244
65,판교,2007,6종,1071339
66,하남,2007,1종,8652095
66,하남,2007,2종,419362
66,하남,2007,3종,202326
66,하남,2007,4종,100268
66,하남,2007,5종,133821
66,하남,2007,6종,297741
67,시흥,2007,1종,44782826
67,시흥,2007,2종,2562586
67,시흥,2007,3종,1453229
67,시흥,2007,4종,722289
67,시흥,2007,5종,847098
67,시흥,2007,6종,1871405
68,김포,2007,1종,46887798
68,김포,2007,2종,2857689
68,김포,2007,3종,900338
68,김포,2007,4종,612419
68,김포,2007,5종,1230314
68,김포,2007,6종,2009245
91,대동(개),2007,1종,1608534
91,대동(개),2007,2종,136796
91,대동(개),2007,3종,26826
91,대동(개),2007,4종,182969
91,대동(개),2007,5종,116814
91,대동(개),2007,6종,89620
92,내서,2007,1종,3076112
92,내서,2007,2종,173147
92,내서,2007,3종,94705
92,내서,2007,4종,37100
92,내서,2007,5종,80760
92,내서,2007,6종,205501
101,서울,2007,1종,63217046
101,서울,2007,2종,3279302
101,서울,2007,3종,5057416
101,서울,2007,4종,780393
101,서울,2007,5종,615590
