영업소코드,영업소명,연월,차종,교통량
11,인천,2019-01,1종,3900701
11,인천,2019-01,2종,104992
11,인천,2019-01,3종,74989
11,인천,2019-01,4종,68625
11,인천,2019-01,5종,155878
11,인천,2019-01,6종,324717
12,서영암(개),2019-01,1종,49965
12,서영암(개),2019-01,2종,855
12,서영암(개),2019-01,3종,1089
12,서영암(개),2019-01,4종,1191
12,서영암(개),2019-01,5종,1580
12,서영암(개),2019-01,6종,2352
13,순천만,2019-01,1종,144641
13,순천만,2019-01,2종,4331
13,순천만,2019-01,3종,3860
13,순천만,2019-01,4종,3806
13,순천만,2019-01,5종,11288
13,순천만,2019-01,6종,6451
25,동부산,2019-01,1종,349215
25,동부산,2019-01,2종,3024
25,동부산,2019-01,3종,3172
25,동부산,2019-01,4종,4481
25,동부산,2019-01,5종,2432
25,동부산,2019-01,6종,10863
29,가락(개),2019-01,1종,843861
29,가락(개),2019-01,2종,21334
29,가락(개),2019-01,3종,21664
29,가락(개),2019-01,4종,21610
29,가락(개),2019-01,5종,118540
29,가락(개),2019-01,6종,64660
53,남인천,2019-01,1종,2161522
53,남인천,2019-01,2종,48950
53,남인천,2019-01,3종,61733
53,남인천,2019-01,4종,29642
53,남인천,2019-01,5종,62431
53,남인천,2019-01,6종,165862
56,일로,2019-01,1종,42564
56,일로,2019-01,2종,1032
56,일로,2019-01,3종,1257
56,일로,2019-01,4종,1713
56,일로,2019-01,5종,4247
56,일로,2019-01,6종,2620
61,성남,2019-01,1종,4568365
61,성남,2019-01,2종,153392
61,성남,2019-01,3종,151894
61,성남,2019-01,4종,122568
61,성남,2019-01,5종,105900
61,성남,2019-01,6종,306408
62,구리남양주,2019-01,1종,4825034
62,구리남양주,2019-01,2종,168798
62,구리남양주,2019-01,3종,162428
62,구리남양주,2019-01,4종,156843
62,구리남양주,2019-01,5종,112017
62,구리남양주,2019-01,6종,341624
63,토평,2019-01,1종,485231
63,토평,2019-01,2종,17800
63,토평,2019-01,3종,11203
63,토평,2019-01,4종,12985
63,토평,2019-01,5종,15169
63,토평,2019-01,6종,37304
64,청계,2019-01,1종,4385932
64,청계,2019-01,2종,113343
64,청계,2019-01,3종,127593
64,청계,2019-01,4종,57807
64,청계,2019-01,5종,79876
64,청계,2019-01,6종,304808
65,판교,2019-01,1종,2526678
65,판교,2019-01,2종,30095
65,판교,2019-01,3종,138438
65,판교,2019-01,4종,10259
65,판교,2019-01,5종,11810
