영업소코드,영업소명,연월,차종,교통량
2,하남감북4,2025-01,1종,584971
2,하남감북4,2025-01,2종,15139
2,하남감북4,2025-01,3종,12450
2,하남감북4,2025-01,4종,464814
2,하남감북4,2025-01,5종,251026
2,하남감북4,2025-01,6종,227818
3,강동고덕,2025-01,1종,148762
3,강동고덕,2025-01,2종,2926
3,강동고덕,2025-01,3종,2336
3,강동고덕,2025-01,4종,2486
3,강동고덕,2025-01,5종,5210
3,강동고덕,2025-01,6종,9094
11,인천,2025-01,1종,4122067
11,인천,2025-01,2종,94903
11,인천,2025-01,3종,55967
11,인천,2025-01,4종,64223
11,인천,2025-01,5종,97302
11,인천,2025-01,6종,267098
12,서영암(개),2025-01,1종,79416
12,서영암(개),2025-01,2종,821
12,서영암(개),2025-01,3종,1437
12,서영암(개),2025-01,4종,1919
12,서영암(개),2025-01,5종,2439
12,서영암(개),2025-01,6종,2788
13,순천만,2025-01,1종,185939
13,순천만,2025-01,2종,3633
13,순천만,2025-01,3종,4221
13,순천만,2025-01,4종,3093
13,순천만,2025-01,5종,7865
13,순천만,2025-01,6종,6441
25,동부산,2025-01,1종,549681
25,동부산,2025-01,2종,2198
25,동부산,2025-01,3종,4886
25,동부산,2025-01,4종,2308
25,동부산,2025-01,5종,2613
25,동부산,2025-01,6종,11222
29,가락(개),2025-01,1종,963746
29,가락(개),2025-01,2종,16954
29,가락(개),2025-01,3종,19467
29,가락(개),2025-01,4종,17855
29,가락(개),2025-01,5종,89511
29,가락(개),2025-01,6종,65474
53,남인천,2025-01,1종,2102825
53,남인천,2025-01,2종,41360
53,남인천,2025-01,3종,37539
53,남인천,2025-01,4종,25796
53,남인천,2025-01,5종,45283
53,남인천,2025-01,6종,121664
56,일로,2025-01,1종,39291
56,일로,2025-01,2종,558
56,일로,2025-01,3종,456
56,일로,2025-01,4종,697
56,일로,2025-01,5종,1243
56,일로,2025-01,6종,1410
57,다사,2025-01,1종,100606
57,다사,2025-01,2종,1503
57,다사,2025-01,3종,953
57,다사,2025-01,4종,952
57,다사,2025-01,5종,535
57,다사,2025-01,6종,6454
58,지천,2025-01,1종,57581
58,지천,2025-01,2종,1099
58,지천,2025-01,3종,876
58,지천,2025-01,4종,681
58,지천,2025-01,5종,1199
58,지천,2025-01,6종,2957
59,하남감북3,2025-01,1종,20181
59,하남감북3,2025-01,2종,886
59,하남감북3,2025-01,3종,706
59,하남감북3,2025-01,4종,850
59,하남감북3,2025-01,5종,772
59,하남감북3,2025-01,6종,1330
61,성남,2025-01,1종,4579304
61,성남,2025-01,2종,109500
61,성남,2025-01,3종,108450
61,성남,2025-01,4종,88701
61,성남,2025-01,5종,81631
61,성남,2025-01,6종,228044
62,구리남양주,2025-01,1종,4836050
62,구리남양주,2025-01,2종,127177
62,구리남양주,2025-01,3종,98270
62,구리남양주,2025-01,4종,97722
62,구리남양주,2025-01,5종,73334
62,구리남양주,2025-01,6종,264441
63,토평,2025-01,1종,424776
63,토평,2025-01,2종,9447
63,토평,2025-01,3종,5529
63,토평,2025-01,4종,6760
63,토평,2025-01,5종,5120
63,토평,2025-01,6종,24269
64,청계,2025-01,1종,4086424
