영업소코드,영업소명,연월,차종,교통량
11,인천,2008-01,1종,3323340
11,인천,2008-01,2종,160796
11,인천,2008-01,3종,61560
11,인천,2008-01,4종,54622
11,인천,2008-01,5종,126699
11,인천,2008-01,6종,195645
53,남인천,2008-01,1종,1803045
53,남인천,2008-01,2종,77798
53,남인천,2008-01,3종,44414
53,남인천,2008-01,4종,23782
53,남인천,2008-01,5종,86644
53,남인천,2008-01,6종,91071
56,일로,2008-01,1종,21383
56,일로,2008-01,2종,878
56,일로,2008-01,3종,284
56,일로,2008-01,4종,216
56,일로,2008-01,5종,459
56,일로,2008-01,6종,1163
61,성남,2008-01,1종,3248309
61,성남,2008-01,2종,197825
61,성남,2008-01,3종,111139
61,성남,2008-01,4종,48456
61,성남,2008-01,5종,63454
61,성남,2008-01,6종,131110
62,구리남양주,2008-01,1종,4235440
62,구리남양주,2008-01,2종,262084
62,구리남양주,2008-01,3종,120750
62,구리남양주,2008-01,4종,77826
62,구리남양주,2008-01,5종,86187
62,구리남양주,2008-01,6종,182331
63,토평,2008-01,1종,411253
63,토평,2008-01,2종,21628
63,토평,2008-01,3종,4539
63,토평,2008-01,4종,4972
63,토평,2008-01,5종,7632
63,토평,2008-01,6종,17844
64,청계,2008-01,1종,4170920
64,청계,2008-01,2종,209575
64,청계,2008-01,3종,115200
64,청계,2008-01,4종,40067
64,청계,2008-01,5종,84454
64,청계,2008-01,6종,187246
65,판교,2008-01,1종,2698425
65,판교,2008-01,2종,52506
65,판교,2008-01,3종,107056
65,판교,2008-01,4종,34579
65,판교,2008-01,5종,26980
65,판교,2008-01,6종,91260
66,하남,2008-01,1종,692687
66,하남,2008-01,2종,31966
66,하남,2008-01,3종,15284
66,하남,2008-01,4종,8119
66,하남,2008-01,5종,12050
66,하남,2008-01,6종,25124
67,시흥,2008-01,1종,3516322
67,시흥,2008-01,2종,206007
67,시흥,2008-01,3종,127973
67,시흥,2008-01,4종,61497
67,시흥,2008-01,5종,64886
67,시흥,2008-01,6종,155620
68,김포,2008-01,1종,3748933
68,김포,2008-01,2종,220060
68,김포,2008-01,3종,81723
68,김포,2008-01,4종,54865
68,김포,2008-01,5종,107876
68,김포,2008-01,6종,172008
91,대동(개),2008-01,1종,134050
91,대동(개),2008-01,2종,10161
91,대동(개),2008-01,3종,2721
91,대동(개),2008-01,4종,10133
91,대동(개),2008-01,5종,8669
91,대동(개),2008-01,6종,7478
92,내서,2008-01,1종,244502
92,내서,2008-01,2종,14441
92,내서,2008-01,3종,8187
92,내서,2008-01,4종,3212
92,내서,2008-01,5종,7235
92,내서,2008-01,6종,16559
101,서울,2008-01,1종,4998385
101,서울,2008-01,2종,270457
101,서울,2008-01,3종,416144
101,서울,2008-01,4종,69642
101,서울,2008-01,5종,52254
101,서울,2008-01,6종,163829
102,동수원,2008-01,1종,1959561
102,동수원,2008-01,2종,53856
102,동수원,2008-01,3종,69883
102,동수원,2008-01,4종,11868
102,동수원,2008-01,5종,22284
102,동수원,2008-01,6종,79616
103,수원신갈,2008-01,1종,2284766
103,수원신갈,2008-01,2종,124401
103,수원신갈,2008-01,3종,114448
103,수원신갈,2008-01,4종,29558
103,수원신갈,2008-01,5종,28801
103,수원신갈,2008-01,6종,90108
104,지곡,2008-01,1종,29393
104,지곡,2008-01,2종,2172
104,지곡,2008-01,3종,1024
104,지곡,2008-01,4종,667
104,지곡,2008-01,5종,2447
104,지곡,2008-01,6종,938
105,기흥,2008-01,1종,983575
105,기흥,2008-01,2종,79316
105,기흥,2008-01,3종,40217
105,기흥,2008-01,4종,21253
105,기흥,2008-01,5종,28436
105,기흥,2008-01,6종,38157
106,오산,2008-01,1종,1128312
106,오산,2008-01,2종,123505
106,오산,2008-01,3종,75219
106,오산,2008-01,4종,35263
106,오산,2008-01,5종,35102
106,오산,2008-01,6종,45268
107,안성,2008-01,1종,821147
107,안성,2008-01,2종,69806
107,안성,2008-01,3종,53170
107,안성,2008-01,4종,21391
107,안성,2008-01,5종,23909
107,안성,2008-01,6종,30187
108,천안,2008-01,1종,1151908
108,천안,2008-01,2종,72537
108,천안,2008-01,3종,78598
108,천안,2008-01,4종,33950
108,천안,2008-01,5종,35938
108,천안,2008-01,6종,34829
109,계룡,2008-01,1종,132096
109,계룡,2008-01,2종,12593
109,계룡,2008-01,3종,11594
109,계룡,2008-01,4종,6861
109,계룡,2008-01,5종,3456
109,계룡,2008-01,6종,6360
110,독립기념관,2008-01,1종,312274
110,독립기념관,2008-01,2종,43022
110,독립기념관,2008-01,3종,25368
110,독립기념관,2008-01,4종,29018
110,독립기념관,2008-01,5종,33110
110,독립기념관,2008-01,6종,8887
111,청주,2008-01,1종,484348
111,청주,2008-01,2종,35536
111,청주,2008-01,3종,47167
111,청주,2008-01,4종,15723
111,청주,2008-01,5종,21424
111,청주,2008-01,6종,15125
112,남청주,2008-01,1종,405730
112,남청주,2008-01,2종,40713
112,남청주,2008-01,3종,27229
112,남청주,2008-01,4종,32082
112,남청주,2008-01,5종,30194
112,남청주,2008-01,6종,12921
113,신탄진,2008-01,1종,541531
113,신탄진,2008-01,2종,61785
113,신탄진,2008-01,3종,22013
113,신탄진,2008-01,4종,39732
113,신탄진,2008-01,5종,43333
113,신탄진,2008-01,6종,17429
114,남대전,2008-01,1종,197550
114,남대전,2008-01,2종,11983
114,남대전,2008-01,3종,5326
114,남대전,2008-01,4종,2660
114,남대전,2008-01,5종,3671
114,남대전,2008-01,6종,7077
115,대전,2008-01,1종,1042182
115,대전,2008-01,2종,51450
115,대전,2008-01,3종,78415
115,대전,2008-01,4종,18054
115,대전,2008-01,5종,21390
115,대전,2008-01,6종,36798
116,옥천,2008-01,1종,268588
116,옥천,2008-01,2종,30928
116,옥천,2008-01,3종,9557
116,옥천,2008-01,4종,26968
116,옥천,2008-01,5종,10701
116,옥천,2008-01,6종,11122
117,금강,2008-01,1종,24850
117,금강,2008-01,2종,2141
117,금강,2008-01,3종,733
117,금강,2008-01,4종,3084
117,금강,2008-01,5종,1699
117,금강,2008-01,6종,1407
118,영동,2008-01,1종,76607
118,영동,2008-01,2종,7104
118,영동,2008-01,3종,3418
118,영동,2008-01,4종,2745
118,영동,2008-01,5종,5698
118,영동,2008-01,6종,2603
119,판암,2008-01,1종,310324
119,판암,2008-01,2종,14406
119,판암,2008-01,3종,4907
119,판암,2008-01,4종,6495
119,판암,2008-01,5종,6716
119,판암,2008-01,6종,13004
120,황간,2008-01,1종,54108
120,황간,2008-01,2종,4399
120,황간,2008-01,3종,3668
120,황간,2008-01,4종,4198
120,황간,2008-01,5종,3249
120,황간,2008-01,6종,1701
121,추풍령,2008-01,1종,31906
121,추풍령,2008-01,2종,2281
121,추풍령,2008-01,3종,1050
121,추풍령,2008-01,4종,987
121,추풍령,2008-01,5종,1322
121,추풍령,2008-01,6종,1728
122,김천,2008-01,1종,231072
122,김천,2008-01,2종,16746
122,김천,2008-01,3종,13155
122,김천,2008-01,4종,8956
122,김천,2008-01,5종,12216
122,김천,2008-01,6종,7689
123,구미,2008-01,1종,686340
123,구미,2008-01,2종,26159
123,구미,2008-01,3종,28196
123,구미,2008-01,4종,14410
123,구미,2008-01,5종,12408
123,구미,2008-01,6종,25994
124,상주,2008-01,1종,129656
124,상주,2008-01,2종,18622
124,상주,2008-01,3종,11395
124,상주,2008-01,4종,11429
124,상주,2008-01,5종,9185
124,상주,2008-01,6종,3866
125,남구미,2008-01,1종,463235
125,남구미,2008-01,2종,28401
125,남구미,2008-01,3종,27015
125,남구미,2008-01,4종,16668
125,남구미,2008-01,5종,41238
125,남구미,2008-01,6종,17592
126,왜관,2008-01,1종,555692
126,왜관,2008-01,2종,52666
126,왜관,2008-01,3종,22789
126,왜관,2008-01,4종,16066
126,왜관,2008-01,5종,43179
126,왜관,2008-01,6종,21234
127,서대구,2008-01,1종,2056867
127,서대구,2008-01,2종,188582
127,서대구,2008-01,3종,103603
127,서대구,2008-01,4종,57584
127,서대구,2008-01,5종,101081
127,서대구,2008-01,6종,70903
129,북대구,2008-01,1종,1482806
129,북대구,2008-01,2종,73556
129,북대구,2008-01,3종,37249
129,북대구,2008-01,4종,16961
129,북대구,2008-01,5종,36232
129,북대구,2008-01,6종,49271
131,경산,2008-01,1종,692249
131,경산,2008-01,2종,88454
131,경산,2008-01,3종,26792
131,경산,2008-01,4종,29812
131,경산,2008-01,5종,32979
131,경산,2008-01,6종,29931
132,영천,2008-01,1종,285764
132,영천,2008-01,2종,32887
132,영천,2008-01,3종,24271
132,영천,2008-01,4종,13039
132,영천,2008-01,5종,46653
132,영천,2008-01,6종,7326
133,서경주,2008-01,1종,126694
133,서경주,2008-01,2종,11322
133,서경주,2008-01,3종,8274
133,서경주,2008-01,4종,5592
133,서경주,2008-01,5종,21114
133,서경주,2008-01,6종,3089
134,선산,2008-01,1종,73795
134,선산,2008-01,2종,7128
134,선산,2008-01,3종,2798
134,선산,2008-01,4종,3444
134,선산,2008-01,5종,2906
134,선산,2008-01,6종,2570
135,경주,2008-01,1종,720387
135,경주,2008-01,2종,58758
135,경주,2008-01,3종,72894
135,경주,2008-01,4종,26228
135,경주,2008-01,5종,101993
135,경주,2008-01,6종,20819
137,통도사,2008-01,1종,298077
137,통도사,2008-01,2종,23711
137,통도사,2008-01,3종,15199
137,통도사,2008-01,4종,9905
137,통도사,2008-01,5종,15019
137,통도사,2008-01,6종,12144
138,양산,2008-01,1종,681689
138,양산,2008-01,2종,110793
138,양산,2008-01,3종,42695
138,양산,2008-01,4종,48202
138,양산,2008-01,5종,70561
138,양산,2008-01,6종,33488
139,서울산,2008-01,1종,369972
139,서울산,2008-01,2종,33903
139,서울산,2008-01,3종,22507
139,서울산,2008-01,4종,9921
139,서울산,2008-01,5종,20909
139,서울산,2008-01,6종,14846
140,부산,2008-01,1종,1430304
140,부산,2008-01,2종,81893
140,부산,2008-01,3종,46106
140,부산,2008-01,4종,34842
140,부산,2008-01,5종,90770
140,부산,2008-01,6종,64418
141,,2008-01,1종,1002462
141,,2008-01,2종,87077
141,,2008-01,3종,67555
141,,2008-01,4종,54625
141,,2008-01,5종,150473
141,,2008-01,6종,34530
142,군북,2008-01,1종,213449
142,군북,2008-01,2종,14820
142,군북,2008-01,3종,7696
142,군북,2008-01,4종,6873
142,군북,2008-01,5종,19237
142,군북,2008-01,6종,10536
143,장지,2008-01,1종,79520
143,장지,2008-01,2종,7572
143,장지,2008-01,3종,2040
143,장지,2008-01,4종,2268
143,장지,2008-01,5종,14666
143,장지,2008-01,6종,3492
144,함안,2008-01,1종,277865
144,함안,2008-01,2종,20661
144,함안,2008-01,3종,8491
144,함안,2008-01,4종,7438
144,함안,2008-01,5종,16284
144,함안,2008-01,6종,15385
145,산인,2008-01,1종,600018
145,산인,2008-01,2종,27771
145,산인,2008-01,3종,28318
145,산인,2008-01,4종,14087
145,산인,2008-01,5종,24430
145,산인,2008-01,6종,30856
146,동창원,2008-01,1종,544767
146,동창원,2008-01,2종,49133
