org,name,mst,effective,source,n,file,건폐율_보전관리,용적률_보전관리,건폐율_생산관리,용적률_생산관리,건폐율_계획관리,용적률_계획관리,건폐율_보전녹지,용적률_보전녹지,건폐율_생산녹지,용적률_생산녹지,건폐율_자연녹지,용적률_자연녹지,건폐율_농림,용적률_농림,건폐율_자연환경보전,용적률_자연환경보전,경사도_도,표고_m,입목축적_pct
경기도 양평군,양평군 도시계획 조례,2005435,20241226,web-html,38,경기도_양평군_양평군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,50,150
경기도 여주시,여주시 도시계획 조례,2095885,20251222,web-html,30,경기도_여주시_여주시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,,
경기도 연천군,연천군 군계획조례,2123687,20260416,web-html,26,경기도_연천군_연천군_군계획조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
경기도 오산시,오산시 도시계획 조례,2127873,20260506,web-html,25,경기도_오산시_오산시_도시계획_조례.json,,,,,,,20,50,20,80,20,100,,,,,15,75,150
경기도 용인시,용인시 도시계획 조례,2102461,20251231,web-html,33,경기도_용인시_용인시_도시계획_조례.json,20,80,20,80,40,100,20,70,20,100,20,100,20,70,20,70,20,,
경기도 의왕시,의왕시 도시계획 조례,2002325,20241230,web-html,14,경기도_의왕시_의왕시_도시계획_조례.json,,,,,,,20,60,20,60,20,100,,,,,17,,
경기도 의정부시,의정부시 도시계획 조례,2072835,20250925,web-html,22,경기도_의정부시_의정부시_도시계획_조례.json,,,,,,,20,50,20,60,20,80,,,,,18,,150
경기도 이천시,이천시 도시계획 조례,2113131,20260227,web-html,42,경기도_이천시_이천시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,50,150
경기도 파주시,파주시 도시계획 조례,2022815,20250320,web-html,32,경기도_파주시_파주시_도시계획_조례.json,20,80,20,80,40,100,20,50,20,50,20,80,20,50,20,50,,,150
경기도 평택시,평택시 도시계획 조례,2122835,20260518,web-html,23,경기도_평택시_평택시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,15,,120
경기도 포천시,포천시 도시계획 조례,2161793,20260814,web-html,28,경기도_포천시_포천시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경기도 하남시,하남시 도시계획 조례,2064475,20250811,web-html,20,경기도_하남시_하남시_도시계획_조례.json,,,,,,,20,80,20,100,20,100,,,,,15,,150
경기도 화성시,화성시 도시계획 조례,2115001,20260310,web-html,31,경기도_화성시_화성시_도시계획_조례.json,20,80,20,80,40,100,20,70,20,80,20,100,20,60,20,50,15,15,
경상남도,경상남도 도시계획 조례,2105665,20260102,web-html,3,경상남도_경상남도_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
경상남도 거제시,거제시 도시계획 조례,2120831,20260409,web-html,46,경상남도_거제시_거제시_도시계획_조례.json,20,80,20,80,40,100,20,60,20,80,20,100,20,80,20,80,20,,100
경상남도 거창군,거창군 계획조례,2103751,20251231,web-html,36,경상남도_거창군_거창군_계획조례.json,20,80,20,80,40,100,20,50,20,80,20,80,20,80,20,80,18,50,
경상남도 고성군,고성군계획 조례,2095695,20251222,web-html,24,경상남도_고성군_고성군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,70,150
경상남도 김해시,김해시 도시계획 조례,2118405,20260401,web-html,34,경상남도_김해시_김해시_도시계획_조례.json,20,80,20,80,40,100,20,70,20,100,20,100,20,80,20,80,18,,100
경상남도 남해군,남해군 도시계획 조례,2119933,20260407,web-html,26,경상남도_남해군_남해군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,50,80
경상남도 밀양시,밀양시 도시계획 조례,2035513,20250508,web-html,26,경상남도_밀양시_밀양시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경상남도 사천시,사천시 도시계획조례,2138397,20260702,web-html,26,경상남도_사천시_사천시_도시계획조례.json,20,80,20,80,40,100,20,80,20,80,20,80,20,80,20,80,18,,
경상남도 산청군,산청군 군계획 조례,2089703,20251127,web-html,23,경상남도_산청군_산청군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,50,
경상남도 양산시,양산시 도시계획 조례,2091561,20251211,web-html,22,경상남도_양산시_양산시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,21,,150
경상남도 의령군,의령군 계획 조례,2116509,20260325,web-html,20,경상남도_의령군_의령군_계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
경상남도 진주시,진주시 도시계획조례,2127421,20260504,web-html,24,경상남도_진주시_진주시_도시계획조례.json,20,60,20,60,40,100,20,60,20,60,20,80,20,60,20,50,12,50,
경상남도 창녕군,창녕군계획 조례,2093817,20251218,web-html,22,경상남도_창녕군_창녕군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
경상남도 창원시,창원시 도시계획 조례,2110201,20260213,web-html,28,경상남도_창원시_창원시_도시계획_조례.json,,,,,50,,,,,,,,30,,,,21,,
경상남도 통영시,통영시 도시계획조례,2105587,20260102,web-html,22,경상남도_통영시_통영시_도시계획조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,100,
경상남도 하동군,하동군 계획 조례,2125873,20260424,web-html,23,경상남도_하동군_하동군_계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경상남도 함안군,함안군 계획 조례,2136625,20260630,web-html,32,경상남도_함안군_함안군_계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,100,
경상남도 함양군,함양군 군계획 조례,2162351,20260806,web-html,13,경상남도_함양군_함양군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,50,150
경상남도 합천군,합천군 군계획 조례,2123757,20260416,web-html,26,경상남도_합천군_합천군_군계획_조례.json,20,80,20,80,40,100,20,60,20,80,20,100,20,80,20,80,25,50,
경상북도,경상북도 도시계획 조례,1908145,20240219,web-html,3,경상북도_경상북도_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
경상북도 경산시,경산시 도시계획 조례,2106343,20260107,web-html,31,경상북도_경산시_경산시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,,,20,80,,,120
경상북도 경주시,경주시 도시계획 조례,2057435,20250715,web-html,31,경상북도_경주시_경주시_도시계획_조례.json,20,60,20,60,40,100,20,60,20,60,20,100,20,60,20,60,20,,
경상북도 고령군,고령군 군계획 조례,2122635,20260414,web-html,40,경상북도_고령군_고령군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,50,150
경상북도 구미시,구미시 도시계획 조례,2146305,20260708,web-html,27,경상북도_구미시_구미시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,100
경상북도 김천시,김천시 도시계획 조례,2112719,20260226,web-html,34,경상북도_김천시_김천시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
경상북도 문경시,문경시 도시계획 조례,2100779,20251230,web-html,22,경상북도_문경시_문경시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경상북도 봉화군,봉화군 군계획 조례,2093765,20251215,web-html,20,경상북도_봉화군_봉화군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,50,
경상북도 상주시,상주시 도시계획 조례,2116275,20260324,web-html,32,경상북도_상주시_상주시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
경상북도 성주군,성주군 도시계획조례,2092439,20251215,web-html,28,경상북도_성주군_성주군_도시계획조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경상북도 안동시,안동시 도시계획 조례,2103263,20260120,web-html,32,경상북도_안동시_안동시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,30,,
경상북도 영덕군,영덕군 군계획 조례,2095663,20251222,web-html,38,경상북도_영덕군_영덕군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경상북도 영양군,영양군 군계획 조례,2094775,20251219,web-html,27,경상북도_영양군_영양군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경상북도 영주시,영주시 도시계획 조례,2099533,20251229,web-html,28,경상북도_영주시_영주시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
경상북도 영천시,영천시 도시계획 조례,2000711,20241227,web-html,24,경상북도_영천시_영천시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경상북도 예천군,예천군 군계획 조례,2096259,20251224,web-html,27,경상북도_예천군_예천군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
경상북도 울릉군,울릉군 군계획 조례,2125271,20260420,web-html,16,경상북도_울릉군_울릉군_군계획_조례.json,20,80,20,80,40,100,20,80,,,20,100,20,80,20,80,30,50,
경상북도 울진군,울진군 군계획조례,1807053,20230501,web-html,24,경상북도_울진군_울진군_군계획조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,50,
경상북도 의성군,의성군 도시계획 조례,2124091,20260417,web-html,37,경상북도_의성군_의성군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경상북도 청송군,청송군 도시계획 조례,2048533,20250701,web-html,28,경상북도_청송군_청송군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,18,,
경상북도 칠곡군,칠곡군 도시계획 조례,2098119,20251226,web-html,30,경상북도_칠곡군_칠곡군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,,
경상북도 포항시,포항시 도시계획 조례,2106311,20260107,web-html,20,경상북도_포항시_포항시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,10,,
대구광역시,대구광역시 도시계획 조례,2128915,20260511,web-html,38,대구광역시_대구광역시_도시계획_조례.json,20,80,20,80,40,100,20,60,20,100,20,100,20,80,20,80,17,,50
대전광역시,대전광역시 도시계획 조례,2110261,20260213,web-html,22,대전광역시_대전광역시_도시계획_조례.json,20,60,20,70,40,80,20,60,20,70,20,80,20,70,20,60,17,,40
대전광역시 동구,대전광역시 동구 도시계획 조례,1534435,20201007,web-html,0,대전광역시_동구_대전광역시_동구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
대전광역시 서구,대전광역시 서구 도시계획 조례,2166971,20261001,web-html,0,대전광역시_서구_대전광역시_서구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
대전광역시 유성구,대전광역시 유성구 도시계획 조례,2037701,20250515,web-html,0,대전광역시_유성구_대전광역시_유성구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
대전광역시 중구,대전광역시 중구 도시계획 조례,1835899,20230711,web-html,0,대전광역시_중구_대전광역시_중구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
부산광역시,부산광역시 도시계획 조례,2120465,20260408,web-html,22,부산광역시_부산광역시_도시계획_조례.json,,,,,,,20,60,20,80,20,80,,100,20,60,17,,80
부산광역시 금정구,부산광역시 금정구 도시계획 조례,1411198,20191028,web-html,0,부산광역시_금정구_부산광역시_금정구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
부산광역시 기장군,부산광역시 기장군 도시계획 조례,2069525,20250924,web-html,0,부산광역시_기장군_부산광역시_기장군_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
부산광역시 동래구,부산광역시동래구 도시계획 조례,1378243,20181231,web-html,0,부산광역시_동래구_부산광역시동래구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
부산광역시 사상구,부산광역시 사상구 도시계획 조례,1817427,20230608,web-html,0,부산광역시_사상구_부산광역시_사상구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
부산광역시 연제구,부산광역시 연제구 도시계획 조례,1846391,20230810,web-html,0,부산광역시_연제구_부산광역시_연제구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
부산광역시 영도구,부산광역시 영도구 도시계획 조례,1715155,20220706,web-html,0,부산광역시_영도구_부산광역시_영도구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
부산광역시 중구,부산광역시 중구 도시계획 조례,1826469,20230630,web-html,0,부산광역시_중구_부산광역시_중구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
서울특별시,서울특별시 도시계획 조례,2149501,20260713,web-html,28,서울특별시_서울특별시_도시계획_조례.json,,,,,,,20,50,20,50,20,50,,,,,,,
서울특별시 강남구,서울특별시 강남구 도시계획 조례,1592205,20210430,web-html,0,서울특별시_강남구_서울특별시_강남구_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
