org,name,mst,effective,source,n,file,건폐율_보전관리,용적률_보전관리,건폐율_생산관리,용적률_생산관리,건폐율_계획관리,용적률_계획관리,건폐율_보전녹지,용적률_보전녹지,건폐율_생산녹지,용적률_생산녹지,건폐율_자연녹지,용적률_자연녹지,건폐율_농림,용적률_농림,건폐율_자연환경보전,용적률_자연환경보전,경사도_도,표고_m,입목축적_pct
전남광주통합특별시 고흥군,고흥군 군계획 조례,2157245,20260824,web-html,27,전남광주통합특별시_고흥군_고흥군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
전남광주통합특별시 곡성군,곡성군 군계획 조례,2159961,20260812,web-html,18,전남광주통합특별시_곡성군_곡성군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,18,50,
전남광주통합특별시 광양시,광양시 도시계획 조례,2105463,20251231,web-html,33,전남광주통합특별시_광양시_광양시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,150
전남광주통합특별시 구례군,구례군계획 조례,1931817,20250423,web-html,16,전남광주통합특별시_구례군_구례군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,150
전남광주통합특별시 나주시,나주시 도시계획 조례,2103137,20251231,web-html,35,전남광주통합특별시_나주시_나주시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,50,150
전남광주통합특별시 담양군,담양군 계획 조례,2159603,20260810,web-html,21,전남광주통합특별시_담양군_담양군_계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,50,
전남광주통합특별시 목포시,목포시 도시계획 조례,2099295,20251229,web-html,30,전남광주통합특별시_목포시_목포시_도시계획_조례.json,,,,,,,20,80,20,100,20,100,,,,,20,50,100
전남광주통합특별시 보성군,보성군 군계획 조례,2157793,20260804,web-html,31,전남광주통합특별시_보성군_보성군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,
전남광주통합특별시 순천시,순천시 도시계획 조례,2139799,20260701,web-html,27,전남광주통합특별시_순천시_순천시_도시계획_조례.json,20,50,20,80,40,100,20,80,20,100,20,100,20,80,20,50,21,,150
전남광주통합특별시 신안군,신안군 도시계획 조례,2164649,20260814,web-html,27,전남광주통합특별시_신안군_신안군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,150
전남광주통합특별시 여수시,여수시 도시계획 조례,2090475,20251208,web-html,15,전남광주통합특별시_여수시_여수시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,100,
전남광주통합특별시 영광군,영광군 도시계획 조례,2160687,20260810,web-html,30,전남광주통합특별시_영광군_영광군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,,150
전남광주통합특별시 영암군,영암군 도시계획 조례,2158147,20260806,web-html,35,전남광주통합특별시_영암군_영암군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,50,
전남광주통합특별시 완도군,완도군 도시계획 조례,2159767,20260804,web-html,25,전남광주통합특별시_완도군_완도군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,50,100
전남광주통합특별시 장성군,장성군 도시계획 조례,2163925,20260818,web-html,27,전남광주통합특별시_장성군_장성군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,
전남광주통합특별시 진도군,진도군계획 조례,2133547,20260701,web-html,23,전남광주통합특별시_진도군_진도군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,
전남광주통합특별시 함평군,함평군 군계획 조례,2155805,20260731,web-html,28,전남광주통합특별시_함평군_함평군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,50,
전남광주통합특별시 해남군,해남군 군계획 조례,2092395,20251215,web-html,39,전남광주통합특별시_해남군_해남군_군계획_조례.json,,,,,,,,,,,,,,,,,25,50,150
전남광주통합특별시 화순군,화순군 도시계획 조례,2095815,20251222,web-html,25,전남광주통합특별시_화순군_화순군_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,150
전북특별자치도,전북특별자치도 도시계획 조례,2056297,20250711,web-html,2,전북특별자치도_전북특별자치도_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
전북특별자치도 고창군,고창군 계획 조례,2105969,20251231,web-html,26,전북특별자치도_고창군_고창군_계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,250,100
전북특별자치도 군산시,군산시 도시계획 조례,2030847,20250415,web-html,21,전북특별자치도_군산시_군산시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,12,45,100
전북특별자치도 김제시,김제시 도시계획 조례,2092743,20251216,web-html,34,전북특별자치도_김제시_김제시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,18,50,100
전북특별자치도 남원시,남원시 도시계획 조례,2147077,20260709,web-html,30,전북특별자치도_남원시_남원시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,21,,100
